dataset,seed,method,ensemble_type,ensemble_size,ensemble_unique_size,nll_test,c1,c2,epi_scalar,path,metadata_version,MC Aleatoric Mean,MC Epistemic Mean,MC Total Mean,P Aleatoric Mean,P Epistemic Mean,P Total Mean
imdb,0,pure_logits,greedy_50_post_calib,50,21,0.1241735741496086,0.9886880466472304,0.9995835068721366,1.0,llm_experiments_data/arrays/imdb_0_pure_logits_greedy_50_post_calib_2025-04-20.npz,mini,0.09709489345550537,0.020495610311627388,0.11759049445390701,0.03847438097000122,0.07910919189453125,0.11758357286453247
imdb,0,pure_logits,greedy_50_post_calib,50,19,0.0971838608384132,1.53076218242399,0.614743856726364,1.0,llm_experiments_data/arrays/ftc_imdb_0_pure_logits_greedy_50_post_calib_2025-04-25.npz,extended,0.08764652162790298,0.006504418794065714,0.09415093809366226,0.06998415291309357,0.024164853617548943,0.09414901584386826
mteb/tweet_sentiment_extraction,0,pure_logits,greedy_50_post_calib,50,26,0.5067362785339355,1.153219491878384,0.932944606413994,1.0,llm_experiments_data/arrays/mteb_tweet_sentiment_extraction_0_pure_logits_greedy_50_post_calib_2025-04-20.npz,mini,0.425970196723938,0.06043334677815437,0.48640355467796326,0.24934785068035126,0.23708227276802063,0.48643016815185547
mteb/tweet_sentiment_extraction,0,pure_logits,greedy_50_post_calib,50,21,0.4686969518661499,1.4393002915451896,0.6547271970012495,1.0,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_0_pure_logits_greedy_50_post_calib_2025-04-25.npz,extended,0.4444543123245239,0.023414866998791695,0.46786919236183167,0.3852698504924774,0.08260487020015717,0.4678747057914734
ag_news,0,pure_logits,greedy_50_post_calib,50,29,0.1908816695213318,1.650512286547272,0.7330279050395669,1.0,llm_experiments_data/arrays/ag_news_0_pure_logits_greedy_50_post_calib_2025-04-20.npz,mini,0.17503587901592255,0.010934323072433472,0.18597020208835602,0.12252561748027802,0.06341885775327682,0.18594446778297424
ag_news,0,pure_logits,greedy_50_post_calib,50,19,0.1444517970085144,1.5184173261141192,0.614743856726364,1.0,llm_experiments_data/arrays/ftc_ag_news_0_pure_logits_greedy_50_post_calib_2025-04-25.npz,extended,0.13402079045772552,0.003557048039510846,0.1375778317451477,0.1176135390996933,0.019938835874199867,0.1375523805618286
dbpedia_14,0,pure_logits,greedy_50_post_calib,50,26,0.0314412824809551,1.7963015410245733,0.7396917950853812,1.0,llm_experiments_data/arrays/dbpedia_14_0_pure_logits_greedy_50_post_calib_2025-04-20.npz,mini,0.030898595228791237,0.0006626945687457919,0.031561288982629776,0.022448888048529625,0.008986505679786205,0.03143538907170296
dbpedia_14,0,pure_logits,greedy_50_post_calib,50,13,0.0296356659382581,1.7255810079133695,0.6597251145356102,1.0,llm_experiments_data/arrays/ftc_dbpedia_14_0_pure_logits_greedy_50_post_calib_2025-04-25.npz,extended,0.028729261830449104,0.00025542243383824825,0.028984684497117996,0.025576142594218254,0.003272329457104206,0.028848476707935333
stanfordnlp/sst2,0,pure_logits,greedy_50_post_calib,50,23,0.1355261951684951,1.4764348188254894,0.7530195751770096,1.0,llm_experiments_data/arrays/stanfordnlp_sst2_0_pure_logits_greedy_50_post_calib_2025-04-24.npz,mini,0.11006055772304535,0.016419103369116783,0.12647965550422668,0.06860402971506119,0.05788625031709671,0.1264902800321579
stanfordnlp/sst2,0,pure_logits,greedy_50_post_calib,50,22,0.1118283942341804,1.602582257392753,0.6847147022074136,1.0,llm_experiments_data/arrays/ftc_stanfordnlp_sst2_0_pure_logits_greedy_50_post_calib_2025-04-25.npz,extended,0.09518016874790192,0.008647707290947437,0.10382787883281708,0.07399196177721024,0.029839230701327324,0.10383118689060211
SetFit/mnli,0,pure_logits,greedy_50_post_calib,50,22,0.3462145328521728,1.868021657642649,0.5247813411078717,1.0,llm_experiments_data/arrays/setfit_mnli_0_pure_logits_greedy_50_post_calib_2025-04-24.npz,mini,0.33292150497436523,0.019105006009340286,0.3520265221595764,0.28293293714523315,0.06908850371837616,0.3520214557647705
SetFit/mnli,0,pure_logits,greedy_50_post_calib,50,14,0.495775818824768,1.983573511037068,0.0,1.0,llm_experiments_data/arrays/ftc_setfit_mnli_0_pure_logits_greedy_50_post_calib_2025-04-25.npz,extended,0.49948975443840027,4.999899942959019e-07,0.49949032068252563,0.4994860589504242,2.2150278833343862e-10,0.4994860291481018
imdb,1,pure_logits,greedy_50_post_calib,50,22,0.1241556704044342,0.9651478550603916,1.0162432319866723,1.0,llm_experiments_data/arrays/imdb_1_pure_logits_greedy_50_post_calib_2025-04-20.npz,mini,0.10084570944309235,0.021436791867017746,0.1222824901342392,0.03778860718011856,0.08448617160320282,0.12227477878332138
imdb,1,pure_logits,greedy_50_post_calib,50,18,0.0975896790623664,1.535360266555602,0.6697209496043316,1.0,llm_experiments_data/arrays/ftc_imdb_1_pure_logits_greedy_50_post_calib_2025-04-25.npz,extended,0.08886190503835678,0.007981343194842339,0.09684326499700546,0.06804647296667099,0.028795259073376656,0.0968417301774025
mteb/tweet_sentiment_extraction,1,pure_logits,greedy_50_post_calib,50,26,0.4978979229927063,1.281865889212828,0.8929612661391086,1.0,llm_experiments_data/arrays/mteb_tweet_sentiment_extraction_1_pure_logits_greedy_50_post_calib_2025-04-20.npz,mini,0.4370255470275879,0.057139068841934204,0.4941645860671997,0.27366936206817627,0.22048090398311615,0.4941502511501312
