dataset,seed,method,ensemble_type,ensemble_size,ensemble_unique_size,nll_test,c1,c2,epi_scalar,path
imdb,0,convex_comb,greedy_unique_5_baseline,5,5,0.11497282236814499,,,,llm_experiments_data/arrays/ftc_imdb_0_convex_comb_greedy_unique_5_baseline_2025-04-25.npz
imdb,0,convex_comb,greedy_50_baseline,50,19,0.10307570546865463,,,,llm_experiments_data/arrays/ftc_imdb_0_convex_comb_greedy_50_baseline_2025-04-25.npz
imdb,0,convex_comb,greedy_50_temp_baseline,50,19,0.10304928570985794,1.0163265306122449,,,llm_experiments_data/arrays/ftc_imdb_0_convex_comb_greedy_50_temp_baseline_2025-04-25.npz
imdb,0,convex_comb,greedy_unique_5_temp_baseline,5,5,0.10353150218725204,1.4571428571428573,,,llm_experiments_data/arrays/ftc_imdb_0_convex_comb_greedy_unique_5_temp_baseline_2025-04-25.npz
imdb,0,convex_comb,greedy_unique_5_post_calib,5,5,0.10162409394979477,1.5481549354435653,0.0,1,llm_experiments_data/arrays/ftc_imdb_0_convex_comb_greedy_unique_5_post_calib_2025-04-25.npz
imdb,0,convex_comb,greedy_50_post_calib,50,19,0.10054410248994827,1.3194502290712204,0.0,1,llm_experiments_data/arrays/ftc_imdb_0_convex_comb_greedy_50_post_calib_2025-04-25.npz
imdb,0,convex_comb,greedy_50_calib_once,9,8,0.09746097028255463,1.7397251145356103,0.0,1,llm_experiments_data/arrays/ftc_imdb_0_convex_comb_greedy_50_calib_once_2025-04-25.npz
imdb,0,convex_comb,greedy_50_calib_every_step,10,9,0.09762850403785706,1.7255810079133695,0.0,1,llm_experiments_data/arrays/ftc_imdb_0_convex_comb_greedy_50_calib_every_step_2025-04-25.npz
imdb,0,pure_logits,greedy_unique_5_baseline,5,5,0.11497282236814499,,,,llm_experiments_data/arrays/ftc_imdb_0_pure_logits_greedy_unique_5_baseline_2025-04-25.npz
imdb,0,pure_logits,greedy_50_baseline,50,19,0.10307570546865463,,,,llm_experiments_data/arrays/ftc_imdb_0_pure_logits_greedy_50_baseline_2025-04-25.npz
imdb,0,pure_logits,greedy_50_temp_baseline,50,19,0.10304928570985794,1.0163265306122449,,,llm_experiments_data/arrays/ftc_imdb_0_pure_logits_greedy_50_temp_baseline_2025-04-25.npz
imdb,0,pure_logits,greedy_unique_5_temp_baseline,5,5,0.10353150218725204,1.4571428571428573,,,llm_experiments_data/arrays/ftc_imdb_0_pure_logits_greedy_unique_5_temp_baseline_2025-04-25.npz
imdb,0,pure_logits,greedy_unique_5_post_calib,5,5,0.10069886595010757,1.6423157017909205,0.42982090795501876,1,llm_experiments_data/arrays/ftc_imdb_0_pure_logits_greedy_unique_5_post_calib_2025-04-25.npz
imdb,0,pure_logits,greedy_50_post_calib,50,19,0.09718386083841324,1.53076218242399,0.614743856726364,1,llm_experiments_data/arrays/ftc_imdb_0_pure_logits_greedy_50_post_calib_2025-04-25.npz
imdb,0,pure_logits,greedy_50_calib_once,10,9,0.09597181528806686,1.602582257392753,2.0991253644314867,1,llm_experiments_data/arrays/ftc_imdb_0_pure_logits_greedy_50_calib_once_2025-04-25.npz
imdb,0,pure_logits,greedy_50_calib_every_step,10,9,0.09597181528806686,1.602582257392753,2.0991253644314867,1,llm_experiments_data/arrays/ftc_imdb_0_pure_logits_greedy_50_calib_every_step_2025-04-25.npz
imdb,1,convex_comb,greedy_unique_5_baseline,5,5,0.1155015230178833,,,,llm_experiments_data/arrays/ftc_imdb_1_convex_comb_greedy_unique_5_baseline_2025-04-25.npz
imdb,1,convex_comb,greedy_50_baseline,50,18,0.10343439131975174,,,,llm_experiments_data/arrays/ftc_imdb_1_convex_comb_greedy_50_baseline_2025-04-25.npz
imdb,1,convex_comb,greedy_50_temp_baseline,50,18,0.10300508141517639,1.0714285714285714,,,llm_experiments_data/arrays/ftc_imdb_1_convex_comb_greedy_50_temp_baseline_2025-04-25.npz
imdb,1,convex_comb,greedy_unique_5_temp_baseline,5,5,0.09838077425956726,1.5673469387755103,,,llm_experiments_data/arrays/ftc_imdb_1_convex_comb_greedy_unique_5_temp_baseline_2025-04-25.npz
imdb,1,convex_comb,greedy_unique_5_post_calib,5,5,0.0979842022061348,1.615826738858809,0.0,1,llm_experiments_data/arrays/ftc_imdb_1_convex_comb_greedy_unique_5_post_calib_2025-04-25.npz
imdb,1,convex_comb,greedy_50_post_calib,50,18,0.0997859388589859,1.352436484798001,0.0,1,llm_experiments_data/arrays/ftc_imdb_1_convex_comb_greedy_50_post_calib_2025-04-25.npz
imdb,1,convex_comb,greedy_50_calib_once,11,10,0.09716001898050308,1.7255810079133695,0.13794252394835482,1,llm_experiments_data/arrays/ftc_imdb_1_convex_comb_greedy_50_calib_once_2025-04-25.npz
imdb,1,convex_comb,greedy_50_calib_every_step,11,10,0.09716001898050308,1.7255810079133695,0.13794252394835482,1,llm_experiments_data/arrays/ftc_imdb_1_convex_comb_greedy_50_calib_every_step_2025-04-25.npz
imdb,1,pure_logits,greedy_unique_5_baseline,5,5,0.1155015230178833,,,,llm_experiments_data/arrays/ftc_imdb_1_pure_logits_greedy_unique_5_baseline_2025-04-25.npz
imdb,1,pure_logits,greedy_50_baseline,50,18,0.10343439131975174,,,,llm_experiments_data/arrays/ftc_imdb_1_pure_logits_greedy_50_baseline_2025-04-25.npz
imdb,1,pure_logits,greedy_50_temp_baseline,50,18,0.10300508141517639,1.0714285714285714,,,llm_experiments_data/arrays/ftc_imdb_1_pure_logits_greedy_50_temp_baseline_2025-04-25.npz
imdb,1,pure_logits,greedy_unique_5_temp_baseline,5,5,0.09838077425956726,1.5673469387755103,,,llm_experiments_data/arrays/ftc_imdb_1_pure_logits_greedy_unique_5_temp_baseline_2025-04-25.npz
imdb,1,pure_logits,greedy_unique_5_post_calib,5,5,0.09752245992422104,1.4077634319033736,1.8142440649729281,1,llm_experiments_data/arrays/ftc_imdb_1_pure_logits_greedy_unique_5_post_calib_2025-04-25.npz
imdb,1,pure_logits,greedy_50_post_calib,50,18,0.09758967906236649,1.5353602665556019,0.6697209496043316,1,llm_experiments_data/arrays/ftc_imdb_1_pure_logits_greedy_50_post_calib_2025-04-25.npz
imdb,1,pure_logits,greedy_50_calib_once,17,11,0.09655478596687317,1.4077634319033736,2.5189504373177845,1,llm_experiments_data/arrays/ftc_imdb_1_pure_logits_greedy_50_calib_once_2025-04-25.npz
imdb,1,pure_logits,greedy_50_calib_every_step,12,10,0.09699022769927979,1.4813827571845066,2.254060807996668,1,llm_experiments_data/arrays/ftc_imdb_1_pure_logits_greedy_50_calib_every_step_2025-04-25.npz
imdb,2,convex_comb,greedy_unique_5_baseline,5,5,0.1148613765835762,,,,llm_experiments_data/arrays/ftc_imdb_2_convex_comb_greedy_unique_5_baseline_2025-04-25.npz
imdb,2,convex_comb,greedy_50_baseline,50,15,0.10202619433403015,,,,llm_experiments_data/arrays/ftc_imdb_2_convex_comb_greedy_50_baseline_2025-04-25.npz
imdb,2,convex_comb,greedy_50_temp_baseline,50,15,0.10202652961015701,1.0714285714285714,,,llm_experiments_data/arrays/ftc_imdb_2_convex_comb_greedy_50_temp_baseline_2025-04-25.npz
imdb,2,convex_comb,greedy_unique_5_temp_baseline,5,5,0.10074030607938766,1.5122448979591838,,,llm_experiments_data/arrays/ftc_imdb_2_convex_comb_greedy_unique_5_temp_baseline_2025-04-25.npz
imdb,2,convex_comb,greedy_unique_5_post_calib,5,5,0.10010861605405807,1.573744273219492,0.0,1,llm_experiments_data/arrays/ftc_imdb_2_convex_comb_greedy_unique_5_post_calib_2025-04-25.npz
imdb,2,convex_comb,greedy_50_post_calib,50,15,0.09918133169412613,1.4306538942107456,0.0,1,llm_experiments_data/arrays/ftc_imdb_2_convex_comb_greedy_50_post_calib_2025-04-25.npz
imdb,2,convex_comb,greedy_50_calib_once,8,8,0.09729349613189697,1.7804581424406498,0.0,1,llm_experiments_data/arrays/ftc_imdb_2_convex_comb_greedy_50_calib_once_2025-04-25.npz
imdb,2,convex_comb,greedy_50_calib_every_step,8,8,0.09729349613189697,1.7804581424406498,0.0,1,llm_experiments_data/arrays/ftc_imdb_2_convex_comb_greedy_50_calib_every_step_2025-04-25.npz
imdb,2,pure_logits,greedy_unique_5_baseline,5,5,0.1148613765835762,,,,llm_experiments_data/arrays/ftc_imdb_2_pure_logits_greedy_unique_5_baseline_2025-04-25.npz
imdb,2,pure_logits,greedy_50_baseline,50,15,0.10202619433403015,,,,llm_experiments_data/arrays/ftc_imdb_2_pure_logits_greedy_50_baseline_2025-04-25.npz
imdb,2,pure_logits,greedy_50_temp_baseline,50,15,0.10202652961015701,1.0714285714285714,,,llm_experiments_data/arrays/ftc_imdb_2_pure_logits_greedy_50_temp_baseline_2025-04-25.npz
imdb,2,pure_logits,greedy_unique_5_temp_baseline,5,5,0.10074030607938766,1.5122448979591838,,,llm_experiments_data/arrays/ftc_imdb_2_pure_logits_greedy_unique_5_temp_baseline_2025-04-25.npz
imdb,2,pure_logits,greedy_unique_5_post_calib,5,5,0.09984618425369263,1.4511953352769682,1.5993336109954186,1,llm_experiments_data/arrays/ftc_imdb_2_pure_logits_greedy_unique_5_post_calib_2025-04-25.npz
