dataset,seed,method,ensemble_type,ensemble_size,ensemble_unique_size,nll_test,c1,c2,epi_scalar,ensemble_time,calibration_time,path,threshold,set_size,auc,aurac,aorac
imdb,0,pure_logits,greedy_5_baseline,5,5,0.1149728223681449,,,,0.1201834678649902,0.0,llm_experiments_data/arrays/extended_imdb_0_pure_logits_greedy_5_baseline_2025-09-21.npz,0.9992145156189742,1.5102,0.9932418336000001,0.9857836251924876,0.014216374807512366
imdb,0,pure_logits,greedy_50_baseline,50,19,0.1030757054686546,,,,0.1201834678649902,0.0,llm_experiments_data/arrays/extended_imdb_0_pure_logits_greedy_50_baseline_2025-09-21.npz,0.9971136166070437,1.66992,0.9911197216,0.9836921667602381,0.016307833239761926
imdb,0,pure_logits,greedy_50_temp_pool_then_calibrate,50,19,0.1030492857098579,1.0163265306122449,,,0.1201834678649902,0.0107569694519042,llm_experiments_data/arrays/extended_imdb_0_pure_logits_greedy_50_temp_pool_then_calibrate_2025-09-21.npz,0.9968839670286543,1.67844,0.991119744,0.9836921667602381,0.016307833239761926
imdb,0,pure_logits,greedy_5_temp_pool_then_calibrate,5,5,0.103531502187252,1.4571428571428573,,,0.1201834678649902,0.007918357849121,llm_experiments_data/arrays/extended_imdb_0_pure_logits_greedy_5_temp_pool_then_calibrate_2025-09-21.npz,0.9927668021552672,1.52128,0.9932418399999998,0.9857836251924876,0.014216374807512366
imdb,0,pure_logits,greedy_50_temp_calibrate_then_pool,50,19,0.1110687404870987,2.154734693877551,,,0.1201834678649902,0.3699462413787842,llm_experiments_data/arrays/extended_imdb_0_pure_logits_greedy_50_temp_calibrate_then_pool_2025-09-21.npz,0.9665581041966967,1.56544,0.9933586527999999,0.9857506080715516,0.01424939192844843
imdb,0,pure_logits,greedy_5_temp_calibrate_then_pool,5,5,0.10636667907238,1.975102040816327,,,0.1201834678649902,0.0359547138214111,llm_experiments_data/arrays/extended_imdb_0_pure_logits_greedy_5_temp_calibrate_then_pool_2025-09-21.npz,0.9788747077456621,1.54868,0.9932772832000001,0.9856027574024865,0.014397242597513515
imdb,0,pure_logits,greedy_5_post_calib,5,5,0.1006988659501075,1.6423157017909205,0.4298209079550187,1.0,0.1201834678649902,2.603549003601074,llm_experiments_data/arrays/extended_imdb_0_pure_logits_greedy_5_post_calib_2025-09-21.npz,0.9901752286196761,1.52744,0.9934062496,0.9856744476531746,0.014325552346825421
imdb,0,pure_logits,greedy_50_post_calib,50,19,0.0971838608384132,1.53076218242399,0.614743856726364,1.0,0.1201834678649902,12.049545288085938,llm_experiments_data/arrays/extended_imdb_0_pure_logits_greedy_50_post_calib_2025-09-21.npz,0.9927668021552672,1.59104,0.9931797888,0.9856426274834353,0.01435737251656466
imdb,1,pure_logits,greedy_5_baseline,5,5,0.1155015230178833,,,,0.0966358184814453,0.0,llm_experiments_data/arrays/extended_imdb_1_pure_logits_greedy_5_baseline_2025-09-21.npz,0.9992724053006923,1.48244,0.9937293744074037,0.9861278677191443,0.013872132280855709
imdb,1,pure_logits,greedy_50_baseline,50,18,0.1034343913197517,,,,0.0966358184814453,0.0,llm_experiments_data/arrays/extended_imdb_1_pure_logits_greedy_50_baseline_2025-09-21.npz,0.9977059127281483,1.70164,0.9910968269307643,0.9837534906872707,0.016246509312729307
