dataset,seed,method,ensemble_type,ensemble_size,ensemble_unique_size,nll_test,c1,c2,epi_scalar,path,aurac,aorac
imdb,0,convex_comb,greedy_unique_5_baseline,5,5,0.1149728223681449,,,,llm_experiments_data/arrays/ftc_imdb_0_convex_comb_greedy_unique_5_baseline_2025-04-25.npz,0.9857836251924876,0.014216374807512366
imdb,0,convex_comb,greedy_50_baseline,50,19,0.1030757054686546,,,,llm_experiments_data/arrays/ftc_imdb_0_convex_comb_greedy_50_baseline_2025-04-25.npz,0.9836921667602381,0.016307833239761926
imdb,0,convex_comb,greedy_50_temp_baseline,50,19,0.1030492857098579,1.0163265306122449,,,llm_experiments_data/arrays/ftc_imdb_0_convex_comb_greedy_50_temp_baseline_2025-04-25.npz,0.9836921667602381,0.016307833239761926
imdb,0,convex_comb,greedy_unique_5_temp_baseline,5,5,0.103531502187252,1.4571428571428573,,,llm_experiments_data/arrays/ftc_imdb_0_convex_comb_greedy_unique_5_temp_baseline_2025-04-25.npz,0.9857836251924876,0.014216374807512366
imdb,0,convex_comb,greedy_unique_5_post_calib,5,5,0.1016240939497947,1.5481549354435653,0.0,1.0,llm_experiments_data/arrays/ftc_imdb_0_convex_comb_greedy_unique_5_post_calib_2025-04-25.npz,0.9858404564584993,0.01415954354150073
imdb,0,convex_comb,greedy_50_post_calib,50,19,0.1005441024899482,1.3194502290712204,0.0,1.0,llm_experiments_data/arrays/ftc_imdb_0_convex_comb_greedy_50_post_calib_2025-04-25.npz,0.9844873679594823,0.015512632040517671
imdb,0,convex_comb,greedy_50_calib_once,9,8,0.0974609702825546,1.7397251145356103,0.0,1.0,llm_experiments_data/arrays/ftc_imdb_0_convex_comb_greedy_50_calib_once_2025-04-25.npz,0.9862013520774676,0.013798647922532381
imdb,0,convex_comb,greedy_50_calib_every_step,10,9,0.097628504037857,1.7255810079133695,0.0,1.0,llm_experiments_data/arrays/ftc_imdb_0_convex_comb_greedy_50_calib_every_step_2025-04-25.npz,0.9861531231398966,0.013846876860103441
imdb,0,pure_logits,greedy_unique_5_baseline,5,5,0.1149728223681449,,,,llm_experiments_data/arrays/ftc_imdb_0_pure_logits_greedy_unique_5_baseline_2025-04-25.npz,0.9857836251924876,0.014216374807512366
imdb,0,pure_logits,greedy_50_baseline,50,19,0.1030757054686546,,,,llm_experiments_data/arrays/ftc_imdb_0_pure_logits_greedy_50_baseline_2025-04-25.npz,0.9836921667602381,0.016307833239761926
imdb,0,pure_logits,greedy_50_temp_baseline,50,19,0.1030492857098579,1.0163265306122449,,,llm_experiments_data/arrays/ftc_imdb_0_pure_logits_greedy_50_temp_baseline_2025-04-25.npz,0.9836921667602381,0.016307833239761926
imdb,0,pure_logits,greedy_unique_5_temp_baseline,5,5,0.103531502187252,1.4571428571428573,,,llm_experiments_data/arrays/ftc_imdb_0_pure_logits_greedy_unique_5_temp_baseline_2025-04-25.npz,0.9857836251924876,0.014216374807512366
imdb,0,pure_logits,greedy_unique_5_post_calib,5,5,0.1006988659501075,1.6423157017909205,0.4298209079550187,1.0,llm_experiments_data/arrays/ftc_imdb_0_pure_logits_greedy_unique_5_post_calib_2025-04-25.npz,0.9856744476531746,0.014325552346825421
imdb,0,pure_logits,greedy_50_post_calib,50,19,0.0971838608384132,1.53076218242399,0.614743856726364,1.0,llm_experiments_data/arrays/ftc_imdb_0_pure_logits_greedy_50_post_calib_2025-04-25.npz,0.9856426274834353,0.01435737251656466
imdb,0,pure_logits,greedy_50_calib_once,10,9,0.0959718152880668,1.602582257392753,2.0991253644314867,1.0,llm_experiments_data/arrays/ftc_imdb_0_pure_logits_greedy_50_calib_once_2025-04-25.npz,0.9860695887324719,0.013930411267528142
imdb,0,pure_logits,greedy_50_calib_every_step,10,9,0.0959718152880668,1.602582257392753,2.0991253644314867,1.0,llm_experiments_data/arrays/ftc_imdb_0_pure_logits_greedy_50_calib_every_step_2025-04-25.npz,0.9860695887324719,0.013930411267528142
imdb,1,convex_comb,greedy_unique_5_baseline,5,5,0.1155015230178833,,,,llm_experiments_data/arrays/ftc_imdb_1_convex_comb_greedy_unique_5_baseline_2025-04-25.npz,0.9861278677191443,0.013872132280855709
imdb,1,convex_comb,greedy_50_baseline,50,18,0.1034343913197517,,,,llm_experiments_data/arrays/ftc_imdb_1_convex_comb_greedy_50_baseline_2025-04-25.npz,0.9837534906872707,0.016246509312729307
imdb,1,convex_comb,greedy_50_temp_baseline,50,18,0.1030050814151763,1.0714285714285714,,,llm_experiments_data/arrays/ftc_imdb_1_convex_comb_greedy_50_temp_baseline_2025-04-25.npz,0.9837534906872707,0.016246509312729307
imdb,1,convex_comb,greedy_unique_5_temp_baseline,5,5,0.0983807742595672,1.5673469387755103,,,llm_experiments_data/arrays/ftc_imdb_1_convex_comb_greedy_unique_5_temp_baseline_2025-04-25.npz,0.9861278677191443,0.013872132280855709
imdb,1,convex_comb,greedy_unique_5_post_calib,5,5,0.0979842022061348,1.615826738858809,0.0,1.0,llm_experiments_data/arrays/ftc_imdb_1_convex_comb_greedy_unique_5_post_calib_2025-04-25.npz,0.9861860227104157,0.013813977289584334
imdb,1,convex_comb,greedy_50_post_calib,50,18,0.0997859388589859,1.352436484798001,0.0,1.0,llm_experiments_data/arrays/ftc_imdb_1_convex_comb_greedy_50_post_calib_2025-04-25.npz,0.9847192636666389,0.015280736333361133
imdb,1,convex_comb,greedy_50_calib_once,11,10,0.097160018980503,1.7255810079133695,0.1379425239483548,1.0,llm_experiments_data/arrays/ftc_imdb_1_convex_comb_greedy_50_calib_once_2025-04-25.npz,0.9861200177230023,0.013879982276997715
imdb,1,convex_comb,greedy_50_calib_every_step,11,10,0.097160018980503,1.7255810079133695,0.1379425239483548,1.0,llm_experiments_data/arrays/ftc_imdb_1_convex_comb_greedy_50_calib_every_step_2025-04-25.npz,0.9861200177230023,0.013879982276997715
imdb,1,pure_logits,greedy_unique_5_baseline,5,5,0.1155015230178833,,,,llm_experiments_data/arrays/ftc_imdb_1_pure_logits_greedy_unique_5_baseline_2025-04-25.npz,0.9861278677191443,0.013872132280855709
imdb,1,pure_logits,greedy_50_baseline,50,18,0.1034343913197517,,,,llm_experiments_data/arrays/ftc_imdb_1_pure_logits_greedy_50_baseline_2025-04-25.npz,0.9837534906872707,0.016246509312729307
imdb,1,pure_logits,greedy_50_temp_baseline,50,18,0.1030050814151763,1.0714285714285714,,,llm_experiments_data/arrays/ftc_imdb_1_pure_logits_greedy_50_temp_baseline_2025-04-25.npz,0.9837534906872707,0.016246509312729307
imdb,1,pure_logits,greedy_unique_5_temp_baseline,5,5,0.0983807742595672,1.5673469387755103,,,llm_experiments_data/arrays/ftc_imdb_1_pure_logits_greedy_unique_5_temp_baseline_2025-04-25.npz,0.9861278677191443,0.013872132280855709
imdb,1,pure_logits,greedy_unique_5_post_calib,5,5,0.097522459924221,1.4077634319033736,1.814244064972928,1.0,llm_experiments_data/arrays/ftc_imdb_1_pure_logits_greedy_unique_5_post_calib_2025-04-25.npz,0.9858452042860267,0.014154795713973267
imdb,1,pure_logits,greedy_50_post_calib,50,18,0.0975896790623664,1.535360266555602,0.6697209496043316,1.0,llm_experiments_data/arrays/ftc_imdb_1_pure_logits_greedy_50_post_calib_2025-04-25.npz,0.9854834586969089,0.014516541303091102
imdb,1,pure_logits,greedy_50_calib_once,17,11,0.0965547859668731,1.4077634319033736,2.5189504373177845,1.0,llm_experiments_data/arrays/ftc_imdb_1_pure_logits_greedy_50_calib_once_2025-04-25.npz,0.9857502737735173,0.014249726226482684
imdb,1,pure_logits,greedy_50_calib_every_step,12,10,0.0969902276992797,1.4813827571845066,2.254060807996668,1.0,llm_experiments_data/arrays/ftc_imdb_1_pure_logits_greedy_50_calib_every_step_2025-04-25.npz,0.9857629632589736,0.014237036741026388
imdb,2,convex_comb,greedy_unique_5_baseline,5,5,0.1148613765835762,,,,llm_experiments_data/arrays/ftc_imdb_2_convex_comb_greedy_unique_5_baseline_2025-04-25.npz,0.9861212479091997,0.01387875209080025
imdb,2,convex_comb,greedy_50_baseline,50,15,0.1020261943340301,,,,llm_experiments_data/arrays/ftc_imdb_2_convex_comb_greedy_50_baseline_2025-04-25.npz,0.9837227341303949,0.016277265869605095
imdb,2,convex_comb,greedy_50_temp_baseline,50,15,0.102026529610157,1.0714285714285714,,,llm_experiments_data/arrays/ftc_imdb_2_convex_comb_greedy_50_temp_baseline_2025-04-25.npz,0.9837227341303949,0.016277265869605095
imdb,2,convex_comb,greedy_unique_5_temp_baseline,5,5,0.1007403060793876,1.5122448979591838,,,llm_experiments_data/arrays/ftc_imdb_2_convex_comb_greedy_unique_5_temp_baseline_2025-04-25.npz,0.9861212479091997,0.01387875209080025
