dataset,seed,method,ensemble_type,ensemble_size,ensemble_unique_size,nll_test,c1,c2,epi_scalar,path,threshold,set_size,auc
imdb,0,convex_comb,greedy_unique_5_baseline,5,5,0.1149728223681449,,,,llm_experiments_data/arrays/ftc_imdb_0_convex_comb_greedy_unique_5_baseline_2025-04-25.npz,0.9855933637950631,1.10656,0.9932418336000001
imdb,0,convex_comb,greedy_50_baseline,50,19,0.1030757054686546,,,,llm_experiments_data/arrays/ftc_imdb_0_convex_comb_greedy_50_baseline_2025-04-25.npz,0.9428485727976632,1.10484,0.9911197216
imdb,0,convex_comb,greedy_50_temp_baseline,50,19,0.1030492857098579,1.0163265306122449,,,llm_experiments_data/arrays/ftc_imdb_0_convex_comb_greedy_50_temp_baseline_2025-04-25.npz,0.9428485727976632,1.1076,0.991119744
imdb,0,convex_comb,greedy_unique_5_temp_baseline,5,5,0.103531502187252,1.4571428571428573,,,llm_experiments_data/arrays/ftc_imdb_0_convex_comb_greedy_unique_5_temp_baseline_2025-04-25.npz,0.947060595353925,1.10616,0.9932418399999998
imdb,0,convex_comb,greedy_unique_5_post_calib,5,5,0.1016240939497947,1.5481549354435653,0.0,1.0,llm_experiments_data/arrays/ftc_imdb_0_convex_comb_greedy_unique_5_post_calib_2025-04-25.npz,0.9509621946209896,1.10896,0.9933170432
imdb,0,convex_comb,greedy_50_post_calib,50,19,0.1005441024899482,1.3194502290712204,0.0,1.0,llm_experiments_data/arrays/ftc_imdb_0_convex_comb_greedy_50_post_calib_2025-04-25.npz,0.9333924998066478,1.1014,0.9919423072000001
imdb,0,convex_comb,greedy_50_calib_once,9,8,0.0974609702825546,1.7397251145356103,0.0,1.0,llm_experiments_data/arrays/ftc_imdb_0_convex_comb_greedy_50_calib_once_2025-04-25.npz,0.947060595353925,1.0994,0.9936548895999999
imdb,0,convex_comb,greedy_50_calib_every_step,10,9,0.097628504037857,1.7255810079133695,0.0,1.0,llm_experiments_data/arrays/ftc_imdb_0_convex_comb_greedy_50_calib_every_step_2025-04-25.npz,0.9428485727976632,1.1074,0.9935627552
imdb,0,pure_logits,greedy_unique_5_baseline,5,5,0.1149728223681449,,,,llm_experiments_data/arrays/ftc_imdb_0_pure_logits_greedy_unique_5_baseline_2025-04-25.npz,0.9855933637950631,1.10656,0.9932418336000001
imdb,0,pure_logits,greedy_50_baseline,50,19,0.1030757054686546,,,,llm_experiments_data/arrays/ftc_imdb_0_pure_logits_greedy_50_baseline_2025-04-25.npz,0.9428485727976632,1.10484,0.9911197216
imdb,0,pure_logits,greedy_50_temp_baseline,50,19,0.1030492857098579,1.0163265306122449,,,llm_experiments_data/arrays/ftc_imdb_0_pure_logits_greedy_50_temp_baseline_2025-04-25.npz,0.9428485727976632,1.1076,0.991119744
imdb,0,pure_logits,greedy_unique_5_temp_baseline,5,5,0.103531502187252,1.4571428571428573,,,llm_experiments_data/arrays/ftc_imdb_0_pure_logits_greedy_unique_5_temp_baseline_2025-04-25.npz,0.947060595353925,1.10616,0.9932418399999998
imdb,0,pure_logits,greedy_unique_5_post_calib,5,5,0.1006988659501075,1.6423157017909205,0.4298209079550187,1.0,llm_experiments_data/arrays/ftc_imdb_0_pure_logits_greedy_unique_5_post_calib_2025-04-25.npz,0.9509621946209896,1.10292,0.9934062496
imdb,0,pure_logits,greedy_50_post_calib,50,19,0.0971838608384132,1.53076218242399,0.614743856726364,1.0,llm_experiments_data/arrays/ftc_imdb_0_pure_logits_greedy_50_post_calib_2025-04-25.npz,0.947060595353925,1.09612,0.9931797888
imdb,0,pure_logits,greedy_50_calib_once,10,9,0.0959718152880668,1.602582257392753,2.0991253644314867,1.0,llm_experiments_data/arrays/ftc_imdb_0_pure_logits_greedy_50_calib_once_2025-04-25.npz,0.9223718584262055,1.0978,0.9935153823999999
imdb,0,pure_logits,greedy_50_calib_every_step,10,9,0.0959718152880668,1.602582257392753,2.0991253644314867,1.0,llm_experiments_data/arrays/ftc_imdb_0_pure_logits_greedy_50_calib_every_step_2025-04-25.npz,0.9223718584262055,1.0978,0.9935153823999999
imdb,1,convex_comb,greedy_unique_5_baseline,5,5,0.1155015230178833,,,,llm_experiments_data/arrays/ftc_imdb_1_convex_comb_greedy_unique_5_baseline_2025-04-25.npz,0.992191306592376,1.09372,0.9937293744074037
imdb,1,convex_comb,greedy_50_baseline,50,18,0.1034343913197517,,,,llm_experiments_data/arrays/ftc_imdb_1_convex_comb_greedy_50_baseline_2025-04-25.npz,0.9579239491627013,1.11524,0.9910968269307643
imdb,1,convex_comb,greedy_50_temp_baseline,50,18,0.1030050814151763,1.0714285714285714,,,llm_experiments_data/arrays/ftc_imdb_1_convex_comb_greedy_50_temp_baseline_2025-04-25.npz,0.947060595353925,1.11128,0.9910968173306933
imdb,1,convex_comb,greedy_unique_5_temp_baseline,5,5,0.0983807742595672,1.5673469387755103,,,llm_experiments_data/arrays/ftc_imdb_1_convex_comb_greedy_unique_5_temp_baseline_2025-04-25.npz,0.9579239491627013,1.09556,0.9937293712073798
imdb,1,convex_comb,greedy_unique_5_post_calib,5,5,0.0979842022061348,1.615826738858809,0.0,1.0,llm_experiments_data/arrays/ftc_imdb_1_convex_comb_greedy_unique_5_post_calib_2025-04-25.npz,0.9610249264065008,1.09596,0.9937861172272098
imdb,1,convex_comb,greedy_50_post_calib,50,18,0.0997859388589859,1.352436484798001,0.0,1.0,llm_experiments_data/arrays/ftc_imdb_1_convex_comb_greedy_50_post_calib_2025-04-25.npz,0.947060595353925,1.11284,0.9919853999047827
imdb,1,convex_comb,greedy_50_calib_once,11,10,0.097160018980503,1.7255810079133695,0.1379425239483548,1.0,llm_experiments_data/arrays/ftc_imdb_1_convex_comb_greedy_50_calib_once_2025-04-25.npz,0.9509621946209896,1.09816,0.9936109895315449
imdb,1,convex_comb,greedy_50_calib_every_step,11,10,0.097160018980503,1.7255810079133695,0.1379425239483548,1.0,llm_experiments_data/arrays/ftc_imdb_1_convex_comb_greedy_50_calib_every_step_2025-04-25.npz,0.9509621946209896,1.09816,0.9936109895315449
imdb,1,pure_logits,greedy_unique_5_baseline,5,5,0.1155015230178833,,,,llm_experiments_data/arrays/ftc_imdb_1_pure_logits_greedy_unique_5_baseline_2025-04-25.npz,0.992191306592376,1.09372,0.9937293744074037
imdb,1,pure_logits,greedy_50_baseline,50,18,0.1034343913197517,,,,llm_experiments_data/arrays/ftc_imdb_1_pure_logits_greedy_50_baseline_2025-04-25.npz,0.9579239491627013,1.11524,0.9910968269307643
imdb,1,pure_logits,greedy_50_temp_baseline,50,18,0.1030050814151763,1.0714285714285714,,,llm_experiments_data/arrays/ftc_imdb_1_pure_logits_greedy_50_temp_baseline_2025-04-25.npz,0.947060595353925,1.11128,0.9910968173306933
imdb,1,pure_logits,greedy_unique_5_temp_baseline,5,5,0.0983807742595672,1.5673469387755103,,,llm_experiments_data/arrays/ftc_imdb_1_pure_logits_greedy_unique_5_temp_baseline_2025-04-25.npz,0.9579239491627013,1.09556,0.9937293712073798
imdb,1,pure_logits,greedy_unique_5_post_calib,5,5,0.097522459924221,1.4077634319033736,1.814244064972928,1.0,llm_experiments_data/arrays/ftc_imdb_1_pure_logits_greedy_unique_5_post_calib_2025-04-25.npz,0.9509621946209896,1.0978,0.9934506779454958
imdb,1,pure_logits,greedy_50_post_calib,50,18,0.0975896790623664,1.535360266555602,0.6697209496043316,1.0,llm_experiments_data/arrays/ftc_imdb_1_pure_logits_greedy_50_post_calib_2025-04-25.npz,0.9509621946209896,1.10496,0.9928824081412085
imdb,1,pure_logits,greedy_50_calib_once,17,11,0.0965547859668731,1.4077634319033736,2.5189504373177845,1.0,llm_experiments_data/arrays/ftc_imdb_1_pure_logits_greedy_50_calib_once_2025-04-25.npz,0.9223718584262055,1.09772,0.9931432580710805
imdb,1,pure_logits,greedy_50_calib_every_step,12,10,0.0969902276992797,1.4813827571845066,2.254060807996668,1.0,llm_experiments_data/arrays/ftc_imdb_1_pure_logits_greedy_50_calib_every_step_2025-04-25.npz,0.9280930013497567,1.10328,0.9931750247061027
imdb,2,convex_comb,greedy_unique_5_baseline,5,5,0.1148613765835762,,,,llm_experiments_data/arrays/ftc_imdb_2_convex_comb_greedy_unique_5_baseline_2025-04-25.npz,0.9885496566989003,1.09592,0.9936989271673133
imdb,2,convex_comb,greedy_50_baseline,50,15,0.1020261943340301,,,,llm_experiments_data/arrays/ftc_imdb_2_convex_comb_greedy_50_baseline_2025-04-25.npz,0.947060595353925,1.1078,0.9911494599356543
imdb,2,convex_comb,greedy_50_temp_baseline,50,15,0.102026529610157,1.0714285714285714,,,llm_experiments_data/arrays/ftc_imdb_2_convex_comb_greedy_50_temp_baseline_2025-04-25.npz,0.9383014287164605,1.10932,0.9911494663356584
imdb,2,convex_comb,greedy_unique_5_temp_baseline,5,5,0.1007403060793876,1.5122448979591838,,,llm_experiments_data/arrays/ftc_imdb_2_convex_comb_greedy_unique_5_temp_baseline_2025-04-25.npz,0.9509621946209896,1.09684,0.9936989335673175
imdb,2,convex_comb,greedy_unique_5_post_calib,5,5,0.100108616054058,1.573744273219492,0.0,1.0,llm_experiments_data/arrays/ftc_imdb_2_convex_comb_greedy_unique_5_post_calib_2025-04-25.npz,0.954576248590888,1.09944,0.9937613848072864
imdb,2,convex_comb,greedy_50_post_calib,50,15,0.0991813316941261,1.4306538942107456,0.0,1.0,llm_experiments_data/arrays/ftc_imdb_2_convex_comb_greedy_50_post_calib_2025-04-25.npz,0.9280930013497567,1.10316,0.9924526415696906
imdb,2,convex_comb,greedy_50_calib_once,8,8,0.0972934961318969,1.7804581424406498,0.0,1.0,llm_experiments_data/arrays/ftc_imdb_2_convex_comb_greedy_50_calib_once_2025-04-25.npz,0.9428485727976632,1.09368,0.9937764440169241
imdb,2,convex_comb,greedy_50_calib_every_step,8,8,0.0972934961318969,1.7804581424406498,0.0,1.0,llm_experiments_data/arrays/ftc_imdb_2_convex_comb_greedy_50_calib_every_step_2025-04-25.npz,0.9428485727976632,1.09368,0.9937764440169241
imdb,2,pure_logits,greedy_unique_5_baseline,5,5,0.1148613765835762,,,,llm_experiments_data/arrays/ftc_imdb_2_pure_logits_greedy_unique_5_baseline_2025-04-25.npz,0.9885496566989003,1.09592,0.9936989271673133
imdb,2,pure_logits,greedy_50_baseline,50,15,0.1020261943340301,,,,llm_experiments_data/arrays/ftc_imdb_2_pure_logits_greedy_50_baseline_2025-04-25.npz,0.947060595353925,1.1078,0.9911494599356543
imdb,2,pure_logits,greedy_50_temp_baseline,50,15,0.102026529610157,1.0714285714285714,,,llm_experiments_data/arrays/ftc_imdb_2_pure_logits_greedy_50_temp_baseline_2025-04-25.npz,0.9383014287164605,1.10932,0.9911494663356584
imdb,2,pure_logits,greedy_unique_5_temp_baseline,5,5,0.1007403060793876,1.5122448979591838,,,llm_experiments_data/arrays/ftc_imdb_2_pure_logits_greedy_unique_5_temp_baseline_2025-04-25.npz,0.9509621946209896,1.09684,0.9936989335673175
imdb,2,pure_logits,greedy_unique_5_post_calib,5,5,0.0998461842536926,1.4511953352769682,1.5993336109954186,1.0,llm_experiments_data/arrays/ftc_imdb_2_pure_logits_greedy_unique_5_post_calib_2025-04-25.npz,0.9428485727976632,1.09696,0.9936189175161071
imdb,2,pure_logits,greedy_50_post_calib,50,15,0.0963173434138298,1.6423157017909205,0.5247813411078717,1.0,llm_experiments_data/arrays/ftc_imdb_2_pure_logits_greedy_50_post_calib_2025-04-25.npz,0.9383014287164605,1.09296,0.9935981815028361
imdb,2,pure_logits,greedy_50_calib_once,8,8,0.0960176438093185,1.573744273219492,2.180758017492712,1.0,llm_experiments_data/arrays/ftc_imdb_2_pure_logits_greedy_50_calib_once_2025-04-25.npz,0.9095277807047543,1.0982,0.9935737718872139
imdb,2,pure_logits,greedy_50_calib_every_step,9,9,0.0955587029457092,1.573744273219492,2.1990837151187006,1.0,llm_experiments_data/arrays/ftc_imdb_2_pure_logits_greedy_50_calib_every_step_2025-04-25.npz,0.9023295314812454,1.09676,0.9935817654923299
