dataset,seed,method,ensemble_type,ensemble_size,ensemble_unique_size,nll_test,c1,c2,epi_scalar,path,aurac,aorac
imdb,0,convex_comb,greedy_unique_5_baseline,5,5,0.1272464990615844,,,,llm_experiments_data/arrays/imdb_0_convex_comb_greedy_unique_5_baseline_2025-04-20.npz,0.9813554282539876,0.018644571746012417
imdb,0,convex_comb,greedy_50_baseline,50,21,0.1241413652896881,,,,llm_experiments_data/arrays/imdb_0_convex_comb_greedy_50_baseline_2025-04-20.npz,0.9822878516353568,0.017712148364643188
imdb,0,convex_comb,greedy_50_temp_baseline,50,21,0.1240801736712455,1.0163265306122449,,,llm_experiments_data/arrays/imdb_0_convex_comb_greedy_50_temp_baseline_2025-04-20.npz,0.9822878516353568,0.017712148364643188
imdb,0,convex_comb,greedy_unique_5_temp_baseline,5,5,0.1268142312765121,0.9612244897959183,,,llm_experiments_data/arrays/imdb_0_convex_comb_greedy_unique_5_temp_baseline_2025-04-20.npz,0.9813554282539876,0.018644571746012417
imdb,0,convex_comb,greedy_unique_5_post_calib,5,5,0.1267390698194503,0.8950270720533111,0.0,1.0,llm_experiments_data/arrays/imdb_0_convex_comb_greedy_unique_5_post_calib_2025-04-20.npz,0.9812536318034177,0.018746368196582264
imdb,0,convex_comb,greedy_50_post_calib,50,21,0.1242452710866928,0.9651478550603916,0.0489795918367346,1.0,llm_experiments_data/arrays/imdb_0_convex_comb_greedy_50_post_calib_2025-04-20.npz,0.982216797073924,0.017783202926076047
imdb,0,convex_comb,greedy_50_calib_once,22,18,0.1237528547644615,1.6980924614743858,0.1039566847147022,1.0,llm_experiments_data/arrays/imdb_0_convex_comb_greedy_50_calib_once_2025-04-20.npz,0.9825224274681637,0.01747757253183635
imdb,0,convex_comb,greedy_50_calib_every_step,13,13,0.1255404353141784,1.9057059558517289,0.1179508538109121,1.0,llm_experiments_data/arrays/imdb_0_convex_comb_greedy_50_calib_every_step_2025-04-20.npz,0.9824234236203168,0.01757657637968324
imdb,0,pure_logits,greedy_unique_5_baseline,5,5,0.1272464990615844,,,,llm_experiments_data/arrays/imdb_0_pure_logits_greedy_unique_5_baseline_2025-04-20.npz,0.9813554282539876,0.018644571746012417
imdb,0,pure_logits,greedy_50_baseline,50,21,0.1241413652896881,,,,llm_experiments_data/arrays/imdb_0_pure_logits_greedy_50_baseline_2025-04-20.npz,0.9822878516353568,0.017712148364643188
imdb,0,pure_logits,greedy_50_temp_baseline,50,21,0.1240801736712455,1.0163265306122449,,,llm_experiments_data/arrays/imdb_0_pure_logits_greedy_50_temp_baseline_2025-04-20.npz,0.9822878516353568,0.017712148364643188
imdb,0,pure_logits,greedy_unique_5_temp_baseline,5,5,0.1268142312765121,0.9612244897959183,,,llm_experiments_data/arrays/imdb_0_pure_logits_greedy_unique_5_temp_baseline_2025-04-20.npz,0.9813554282539876,0.018644571746012417
imdb,0,pure_logits,greedy_unique_5_post_calib,5,5,0.1263979226350784,1.0701541024573094,0.9062890462307372,1.0,llm_experiments_data/arrays/imdb_0_pure_logits_greedy_unique_5_post_calib_2025-04-20.npz,0.9818147888058253,0.01818521119417471
imdb,0,pure_logits,greedy_50_post_calib,50,21,0.1241735741496086,0.9886880466472304,0.9995835068721366,1.0,llm_experiments_data/arrays/imdb_0_pure_logits_greedy_50_post_calib_2025-04-20.npz,0.9822789593689951,0.01772104063100488
imdb,0,pure_logits,greedy_50_calib_once,14,13,0.1230600401759147,1.330445647646814,2.8454810495626823,1.0,llm_experiments_data/arrays/imdb_0_pure_logits_greedy_50_calib_once_2025-04-20.npz,0.981636022923066,0.018363977076934046
imdb,0,pure_logits,greedy_50_calib_every_step,20,17,0.1225338503718376,1.1127363598500624,3.0737192836318203,1.0,llm_experiments_data/arrays/imdb_0_pure_logits_greedy_50_calib_every_step_2025-04-20.npz,0.9817917037987167,0.01820829620128328
imdb,1,convex_comb,greedy_unique_5_baseline,5,5,0.1270262897014618,,,,llm_experiments_data/arrays/imdb_1_convex_comb_greedy_unique_5_baseline_2025-04-20.npz,0.9815535387214858,0.018446461278514237
