dataset,seed,method,ensemble_type,ensemble_size,ensemble_unique_size,nll_test,c1,c2,epi_scalar,path,threshold,set_size,auc,aurac,aorac
stanfordnlp/sst2,0,convex_comb,greedy_unique_5_baseline,5,5,0.1587303429841995,,,,llm_experiments_data/arrays/stanfordnlp_sst2_0_convex_comb_greedy_unique_5_baseline_2025-04-24.npz,0.9908993078017677,1.2597438752783965,0.9844612534570137,0.9780819882270831,0.021918011772916857
stanfordnlp/sst2,0,convex_comb,greedy_50_baseline,50,23,0.1364589035511016,,,,llm_experiments_data/arrays/stanfordnlp_sst2_0_convex_comb_greedy_50_baseline_2025-04-24.npz,0.954576248590888,1.212323682256867,0.9869619079903988,0.9815958805890593,0.018404119410940667
stanfordnlp/sst2,0,convex_comb,greedy_50_temp_baseline,50,23,0.1363299340009689,1.0163265306122449,,,llm_experiments_data/arrays/stanfordnlp_sst2_0_convex_comb_greedy_50_temp_baseline_2025-04-24.npz,0.9509621946209896,1.209539717891611,0.986961907990399,0.9815958805890593,0.018404119410940667
stanfordnlp/sst2,0,convex_comb,greedy_unique_5_temp_baseline,5,5,0.1491606384515762,1.2918367346938775,,,llm_experiments_data/arrays/stanfordnlp_sst2_0_convex_comb_greedy_unique_5_temp_baseline_2025-04-24.npz,0.9753793916128501,1.2676317743132888,0.9844613233018462,0.9780819882270831,0.021918011772916857
stanfordnlp/sst2,0,convex_comb,greedy_unique_5_post_calib,5,5,0.1465200632810592,1.4274052478134114,0.0,1.0,llm_experiments_data/arrays/stanfordnlp_sst2_0_convex_comb_greedy_unique_5_post_calib_2025-04-24.npz,0.9713057528362042,1.2561247216035634,0.984961290073167,0.9787400285825594,0.021259971417440626
stanfordnlp/sst2,0,convex_comb,greedy_50_post_calib,50,23,0.1357514411211013,1.1768096626405664,0.0,1.0,llm_experiments_data/arrays/stanfordnlp_sst2_0_convex_comb_greedy_50_post_calib_2025-04-24.npz,0.9509621946209896,1.2139012620638456,0.9871464729599401,0.9817679187272013,0.01823208127279874
stanfordnlp/sst2,0,convex_comb,greedy_50_calib_once,7,7,0.1423856616020202,2.1823406913785925,0.0,1.0,llm_experiments_data/arrays/stanfordnlp_sst2_0_convex_comb_greedy_50_calib_once_2025-04-24.npz,0.9734204999598582,1.2010950259836675,0.9875274066756923,0.9819074642518795,0.01809253574812053
stanfordnlp/sst2,0,convex_comb,greedy_50_calib_every_step,10,10,0.1386859714984893,1.8747188671386923,0.0,1.0,llm_experiments_data/arrays/stanfordnlp_sst2_0_convex_comb_greedy_50_calib_every_step_2025-04-24.npz,0.9690227498992263,1.2074053452115814,0.987649495442677,0.982309631410049,0.01769036858995099
stanfordnlp/sst2,0,pure_logits,greedy_unique_5_baseline,5,5,0.1587303429841995,,,,llm_experiments_data/arrays/stanfordnlp_sst2_0_pure_logits_greedy_unique_5_baseline_2025-04-24.npz,0.9908993078017677,1.2597438752783965,0.9844612534570137,0.9780819882270831,0.021918011772916857
stanfordnlp/sst2,0,pure_logits,greedy_50_baseline,50,23,0.1364589035511016,,,,llm_experiments_data/arrays/stanfordnlp_sst2_0_pure_logits_greedy_50_baseline_2025-04-24.npz,0.954576248590888,1.212323682256867,0.9869619079903988,0.9815958805890593,0.018404119410940667
stanfordnlp/sst2,0,pure_logits,greedy_50_temp_baseline,50,23,0.1363299340009689,1.0163265306122449,,,llm_experiments_data/arrays/stanfordnlp_sst2_0_pure_logits_greedy_50_temp_baseline_2025-04-24.npz,0.9509621946209896,1.209539717891611,0.986961907990399,0.9815958805890593,0.018404119410940667
stanfordnlp/sst2,0,pure_logits,greedy_unique_5_temp_baseline,5,5,0.1491606384515762,1.2918367346938775,,,llm_experiments_data/arrays/stanfordnlp_sst2_0_pure_logits_greedy_unique_5_temp_baseline_2025-04-24.npz,0.9753793916128501,1.2676317743132888,0.9844613233018462,0.9780819882270831,0.021918011772916857
stanfordnlp/sst2,0,pure_logits,greedy_unique_5_post_calib,5,5,0.1424516439437866,1.7397251145356103,0.4298209079550187,1.0,llm_experiments_data/arrays/stanfordnlp_sst2_0_pure_logits_greedy_unique_5_post_calib_2025-04-24.npz,0.9690227498992263,1.218170007423905,0.9869480787135896,0.9814526400413329,0.018547359958667076
stanfordnlp/sst2,0,pure_logits,greedy_50_post_calib,50,23,0.1355261951684951,1.4764348188254894,0.7530195751770096,1.0,llm_experiments_data/arrays/stanfordnlp_sst2_0_pure_logits_greedy_50_post_calib_2025-04-24.npz,0.9579239491627013,1.2050853749072012,0.9876377789720467,0.9821742669888616,0.017825733011138434
stanfordnlp/sst2,0,pure_logits,greedy_50_calib_once,6,6,0.1365929692983627,1.9450895460224904,4.09829237817576,1.0,llm_experiments_data/arrays/stanfordnlp_sst2_0_pure_logits_greedy_50_calib_once_2025-04-24.npz,0.9638973636691187,1.19543429844098,0.9873877693945741,0.9818572710328437,0.018142728967156296
stanfordnlp/sst2,0,pure_logits,greedy_50_calib_every_step,8,8,0.1370567381381988,1.8747188671386923,3.251978342357351,1.0,llm_experiments_data/arrays/stanfordnlp_sst2_0_pure_logits_greedy_50_calib_every_step_2025-04-24.npz,0.947060595353925,1.1981254639940608,0.9873516596162382,0.9820052433140635,0.01799475668593653
stanfordnlp/sst2,1,convex_comb,greedy_unique_5_baseline,5,5,0.1558631211519241,,,,llm_experiments_data/arrays/stanfordnlp_sst2_1_convex_comb_greedy_unique_5_baseline_2025-04-24.npz,0.9901752286196761,1.2553823311061618,0.9847750406432124,0.9786756673351912,0.02132433266480882
stanfordnlp/sst2,1,convex_comb,greedy_50_baseline,50,19,0.1328914612531662,,,,llm_experiments_data/arrays/stanfordnlp_sst2_1_convex_comb_greedy_50_baseline_2025-04-24.npz,0.947060595353925,1.1942279138827023,0.9877385526628583,0.9822985136406469,0.01770148635935309
stanfordnlp/sst2,1,convex_comb,greedy_50_temp_baseline,50,19,0.1328022927045822,1.0163265306122449,,,llm_experiments_data/arrays/stanfordnlp_sst2_1_convex_comb_greedy_50_temp_baseline_2025-04-24.npz,0.947060595353925,1.199053452115813,0.9877385526628583,0.9822985136406469,0.01770148635935309
stanfordnlp/sst2,1,convex_comb,greedy_unique_5_temp_baseline,5,5,0.1468874514102935,1.2918367346938775,,,llm_experiments_data/arrays/stanfordnlp_sst2_1_convex_comb_greedy_unique_5_temp_baseline_2025-04-24.npz,0.9734204999598582,1.2592798812175203,0.984775023217349,0.9786756673351912,0.02132433266480882
stanfordnlp/sst2,1,convex_comb,greedy_unique_5_post_calib,5,5,0.144196331501007,1.4511953352769682,0.0,1.0,llm_experiments_data/arrays/stanfordnlp_sst2_1_convex_comb_greedy_unique_5_post_calib_2025-04-24.npz,0.9690227498992263,1.2570527097253155,0.9852970846565517,0.9793302762578969,0.020669723742103074
stanfordnlp/sst2,1,convex_comb,greedy_50_post_calib,50,19,0.1323046386241912,1.1864556434818825,0.0,1.0,llm_experiments_data/arrays/stanfordnlp_sst2_1_convex_comb_greedy_50_post_calib_2025-04-24.npz,0.9428485727976632,1.1932999257609502,0.9879949568157484,0.9825047754818189,0.017495224518181085
stanfordnlp/sst2,1,convex_comb,greedy_50_calib_once,8,8,0.1374329328536987,2.164598084131612,0.0,1.0,llm_experiments_data/arrays/stanfordnlp_sst2_1_convex_comb_greedy_50_calib_once_2025-04-24.npz,0.9713057528362042,1.1907015590200445,0.9882503154168392,0.9821391110972831,0.017860888902716865
stanfordnlp/sst2,1,convex_comb,greedy_50_calib_every_step,11,10,0.1353324949741363,1.850379008746356,0.0,1.0,llm_experiments_data/arrays/stanfordnlp_sst2_1_convex_comb_greedy_50_calib_every_step_2025-04-24.npz,0.9610249264065008,1.2006310319227913,0.9881606070724679,0.9824660989435857,0.01753390105641428
stanfordnlp/sst2,1,pure_logits,greedy_unique_5_baseline,5,5,0.1558631211519241,,,,llm_experiments_data/arrays/stanfordnlp_sst2_1_pure_logits_greedy_unique_5_baseline_2025-04-24.npz,0.9901752286196761,1.2553823311061618,0.9847750406432124,0.9786756673351912,0.02132433266480882
stanfordnlp/sst2,1,pure_logits,greedy_50_baseline,50,19,0.1328914612531662,,,,llm_experiments_data/arrays/stanfordnlp_sst2_1_pure_logits_greedy_50_baseline_2025-04-24.npz,0.947060595353925,1.1942279138827023,0.9877385526628583,0.9822985136406469,0.01770148635935309
