dataset,seed,method,ensemble_type,ensemble_size,ensemble_unique_size,nll_test,c1,c2,epi_scalar,ensemble_time,calibration_time,path,threshold,set_size,auc,aurac,aorac
imdb,0,pure_logits,greedy_5_baseline,5,5,0.1272464990615844,,,,5.854335069656372,0.0,llm_experiments_data/arrays/mini_imdb_0_pure_logits_greedy_5_baseline_2025-09-21.npz,0.9876386320173118,1.76956,0.9878506976,0.9813554282539876,0.018644571746012417
imdb,0,pure_logits,greedy_50_baseline,50,21,0.1241413652896881,,,,5.854335069656372,0.0,llm_experiments_data/arrays/mini_imdb_0_pure_logits_greedy_50_baseline_2025-09-21.npz,0.9937936782064581,1.68592,0.9885623743999999,0.9822878516353568,0.017712148364643188
imdb,0,pure_logits,greedy_50_temp_pool_then_calibrate,50,21,0.1240801736712455,1.0163265306122449,,,5.854335069656372,0.0105984210968017,llm_experiments_data/arrays/mini_imdb_0_pure_logits_greedy_50_temp_pool_then_calibrate_2025-09-21.npz,0.9932998840740801,1.6892,0.9885623616,0.9822878516353568,0.017712148364643188
imdb,0,pure_logits,greedy_5_temp_pool_then_calibrate,5,5,0.1268142312765121,0.9612244897959183,,,5.854335069656372,0.0106236934661865,llm_experiments_data/arrays/mini_imdb_0_pure_logits_greedy_5_temp_pool_then_calibrate_2025-09-21.npz,0.9893935394612752,1.75364,0.9878506976,0.9813554282539876,0.018644571746012417
imdb,0,pure_logits,greedy_50_temp_calibrate_then_pool,50,21,0.1363734453916549,2.439061224489796,,,5.854335069656372,0.3693244457244873,llm_experiments_data/arrays/mini_imdb_0_pure_logits_greedy_50_temp_calibrate_then_pool_2025-09-21.npz,0.9638973636691187,1.63984,0.9896955263999999,0.982980047088616,0.01701995291138403
imdb,0,pure_logits,greedy_5_temp_calibrate_then_pool,5,5,0.1323956996202469,2.0963265306122447,,,5.854335069656372,0.0395879745483398,llm_experiments_data/arrays/mini_imdb_0_pure_logits_greedy_5_temp_calibrate_then_pool_2025-09-21.npz,0.9713057528362042,1.72648,0.9894441504,0.9828756174966538,0.017124382503346247
imdb,0,pure_logits,greedy_5_post_calib,5,5,0.1263979226350784,1.0701541024573094,0.9062890462307372,1.0,5.854335069656372,2.5066237449646,llm_experiments_data/arrays/mini_imdb_0_pure_logits_greedy_5_post_calib_2025-09-21.npz,0.9885496566989003,1.6818,0.988357104,0.9818147888058253,0.01818521119417471
imdb,0,pure_logits,greedy_50_post_calib,50,21,0.1241735741496086,0.9886880466472304,0.9995835068721366,1.0,5.854335069656372,12.263320207595823,llm_experiments_data/arrays/mini_imdb_0_pure_logits_greedy_50_post_calib_2025-09-21.npz,0.9942510800363944,1.71396,0.988554496,0.9822789593689951,0.01772104063100488
imdb,1,pure_logits,greedy_5_baseline,5,5,0.1270262897014618,,,,2.1921565532684326,0.0,llm_experiments_data/arrays/mini_imdb_1_pure_logits_greedy_5_baseline_2025-09-21.npz,0.9866551233980249,1.71284,0.9879076705361097,0.9815535387214858,0.018446461278514237
imdb,1,pure_logits,greedy_50_baseline,50,22,0.1241896897554397,,,,2.1921565532684326,0.0,llm_experiments_data/arrays/mini_imdb_1_pure_logits_greedy_50_baseline_2025-09-21.npz,0.9937936782064581,1.70536,0.9887257949889215,0.9824100271487011,0.01758997285129893
imdb,1,pure_logits,greedy_50_temp_pool_then_calibrate,50,22,0.1241727024316787,1.0163265306122449,,,2.1921565532684326,0.0102529525756835,llm_experiments_data/arrays/mini_imdb_1_pure_logits_greedy_50_temp_pool_then_calibrate_2025-09-21.npz,0.9932998840740801,1.70792,0.988725791788898,0.9824100271487011,0.01758997285129893
imdb,1,pure_logits,greedy_5_temp_pool_then_calibrate,5,5,0.126593217253685,0.9612244897959183,,,2.1921565532684326,0.0081977844238281,llm_experiments_data/arrays/mini_imdb_1_pure_logits_greedy_5_temp_pool_then_calibrate_2025-09-21.npz,0.9885496566989003,1.6974,0.9879076577360151,0.9815535387214858,0.018446461278514237
imdb,1,pure_logits,greedy_50_temp_calibrate_then_pool,50,22,0.1364003270864486,2.471020408163265,,,2.1921565532684326,0.3769595623016357,llm_experiments_data/arrays/mini_imdb_1_pure_logits_greedy_50_temp_calibrate_then_pool_2025-09-21.npz,0.9638973636691187,1.63132,0.9898001805376558,0.9833203360336311,0.016679663966368885
imdb,1,pure_logits,greedy_5_temp_calibrate_then_pool,5,5,0.1315800249576568,2.08530612244898,,,2.1921565532684326,0.0368251800537109,llm_experiments_data/arrays/mini_imdb_1_pure_logits_greedy_5_temp_calibrate_then_pool_2025-09-21.npz,0.9713057528362042,1.6868,0.9898636658073452,0.9833223931570383,0.016677606842961712
imdb,1,pure_logits,greedy_5_post_calib,5,5,0.1262862235307693,1.3124531445231151,0.7730112453144523,1.0,2.1921565532684326,2.550163745880127,llm_experiments_data/arrays/mini_imdb_1_pure_logits_greedy_5_post_calib_2025-09-21.npz,0.9866551233980249,1.71096,0.9894514195573825,0.9828192986868756,0.017180701313124436
imdb,1,pure_logits,greedy_50_post_calib,50,22,0.1241556704044342,0.9651478550603916,1.0162432319866723,1.0,2.1921565532684326,13.635117053985596,llm_experiments_data/arrays/mini_imdb_1_pure_logits_greedy_50_post_calib_2025-09-21.npz,0.9937936782064581,1.70412,0.9886949979610727,0.9823691538631053,0.017630846136894696
imdb,2,pure_logits,greedy_5_baseline,5,5,0.1384223103523254,,,,0.1043963432312011,0.0,llm_experiments_data/arrays/mini_imdb_2_pure_logits_greedy_5_baseline_2025-09-21.npz,0.9844471273184587,1.72236,0.9866834186773878,0.980759106481637,0.019240893518363
imdb,2,pure_logits,greedy_50_baseline,50,21,0.1249853745102882,,,,0.1043963432312011,0.0,llm_experiments_data/arrays/mini_imdb_2_pure_logits_greedy_50_baseline_2025-09-21.npz,0.992191306592376,1.71244,0.9887088663736744,0.9823803530352296,0.017619646964770364
imdb,2,pure_logits,greedy_50_temp_pool_then_calibrate,50,21,0.1251706480979919,1.0163265306122449,,,0.1043963432312011,0.0078465938568115,llm_experiments_data/arrays/mini_imdb_2_pure_logits_greedy_50_temp_pool_then_calibrate_2025-09-21.npz,0.9915700228248736,1.71272,0.9887088695736764,0.9823803530352296,0.017619646964770364
imdb,2,pure_logits,greedy_5_temp_pool_then_calibrate,5,5,0.1362000554800033,0.9061224489795918,,,0.1043963432312011,0.0089976787567138,llm_experiments_data/arrays/mini_imdb_2_pure_logits_greedy_5_temp_pool_then_calibrate_2025-09-21.npz,0.9901752286196761,1.74656,0.986683418677388,0.980759106481637,0.019240893518363
imdb,2,pure_logits,greedy_50_temp_calibrate_then_pool,50,21,0.1363392621278762,2.303510204081632,,,0.1043963432312011,0.3817505836486816,llm_experiments_data/arrays/mini_imdb_2_pure_logits_greedy_50_temp_calibrate_then_pool_2025-09-21.npz,0.9665581041966967,1.63432,0.9896621629837843,0.9831643064232427,0.016835693576757293
imdb,2,pure_logits,greedy_5_temp_calibrate_then_pool,5,5,0.1417098045349121,1.831836734693877,,,0.1043963432312011,0.0401504039764404,llm_experiments_data/arrays/mini_imdb_2_pure_logits_greedy_5_temp_calibrate_then_pool_2025-09-21.npz,0.9753793916128501,1.75556,0.9879653778978417,0.9815429951298372,0.018457004870162774
imdb,2,pure_logits,greedy_5_post_calib,5,5,0.1345534473657608,1.265472719700125,0.6547271970012495,1.0,0.1043963432312011,3.215742588043213,llm_experiments_data/arrays/mini_imdb_2_pure_logits_greedy_5_post_calib_2025-09-21.npz,0.9866551233980249,1.68204,0.9879613138952409,0.9816449966676055,0.01835500333239448
