dataset,seed,method,ensemble_type,ensemble_size,non_calibrated_nll,calibrated_nll,c1,c2,epi_scalar
imdb,0,convex_comb,greedy,50,0.10307571291923523,0.100525655,1.3265306122448979,0.0,1
imdb,0,convex_comb,greedy,50,0.10307571291923523,0.100525655,1.3265306122448979,0.0,1
imdb,0,convex_comb,greedy_init,34,0.10642918199300766,0.10099514,1.4489795918367347,0.0,1
imdb,0,convex_comb,greedy_init_temp,9,0.117896668612957,0.0974638,1.7551020408163265,0.0,1
imdb,0,pure_logits,greedy,50,0.10307571291923523,0.09713324,1.5408163265306123,0.6060606060606061,1
imdb,0,pure_logits,greedy_init,34,0.10642918199300766,0.0987254,1.6326530612244898,0.6060606060606061,1
imdb,0,pure_logits,greedy_init_temp,10,0.12312471866607666,0.09593054,1.5714285714285714,2.2222222222222223,1
imdb,1,convex_comb,greedy,50,0.10343439131975174,0.09976877,1.3571428571428572,0.0,1
imdb,1,convex_comb,greedy_init,50,0.10482002049684525,0.10140036,1.3571428571428572,0.0,1
imdb,1,convex_comb,greedy_init_temp,11,0.11859718710184097,0.09716303,1.7244897959183674,0.15151515151515152,1
imdb,1,pure_logits,greedy,50,0.10343439131975174,0.09780556,1.510204081632653,0.7070707070707071,1
imdb,1,pure_logits,greedy_init,50,0.10482002049684525,0.099132255,1.5408163265306123,0.7070707070707071,1
imdb,1,pure_logits,greedy_init_temp,17,0.12051110714673996,0.0965146,1.4183673469387754,2.525252525252525,1
imdb,2,convex_comb,greedy,50,0.10202619433403015,0.09916657,1.4183673469387754,0.0,1
imdb,2,convex_comb,greedy_init,44,0.1026732549071312,0.100813545,1.4183673469387754,0.0,1
imdb,2,convex_comb,greedy_init_temp,8,0.1176803708076477,0.09731082,1.7857142857142856,0.0,1
imdb,2,pure_logits,greedy,50,0.10202619433403015,0.096336946,1.663265306122449,0.5050505050505051,1
imdb,2,pure_logits,greedy_init,44,0.1026732549071312,0.09813567,1.663265306122449,0.6060606060606061,1
imdb,2,pure_logits,greedy_init_temp,9,0.11736058443784714,0.0955704,1.5714285714285714,2.2222222222222223,1
imdb,3,convex_comb,greedy,50,0.10881015658378601,0.10067356,1.3877551020408163,0.0,1
imdb,3,convex_comb,greedy_init,25,0.11152691394090652,0.1021665,1.4183673469387754,0.0,1
imdb,3,convex_comb,greedy_init_temp,10,0.12018825113773346,0.09856677,1.7244897959183674,0.0,1
imdb,3,pure_logits,greedy,50,0.10881015658378601,0.09906128,1.5408163265306123,0.6060606060606061,1
imdb,3,pure_logits,greedy_init,25,0.11152691394090652,0.101007156,1.5408163265306123,0.7070707070707071,1
imdb,3,pure_logits,greedy_init_temp,10,0.12483098357915878,0.097721756,1.3265306122448979,2.727272727272727,1
imdb,4,convex_comb,greedy,50,0.10747212916612625,0.103458434,1.2653061224489797,0.0,1
imdb,4,convex_comb,greedy_init,50,0.10871236026287079,0.10378207,1.3571428571428572,0.0,1
imdb,4,convex_comb,greedy_init_temp,12,0.12061270326375961,0.10029425,1.6020408163265305,0.09090909090909091,1
imdb,4,pure_logits,greedy,50,0.10747212916612625,0.10132392,1.4183673469387754,0.6060606060606061,1
imdb,4,pure_logits,greedy_init,50,0.10871236026287079,0.101884276,1.510204081632653,0.6060606060606061,1
imdb,4,pure_logits,greedy_init_temp,12,0.12288299947977066,0.09863292,1.4795918367346939,2.0202020202020203,1
imdb,5,convex_comb,greedy,50,0.10491494834423065,0.10003533,1.3877551020408163,0.0,1
imdb,5,convex_comb,greedy_init,50,0.10661622881889343,0.10130306,1.4183673469387754,0.0,1
imdb,5,convex_comb,greedy_init_temp,14,0.11511718481779099,0.0967593,1.7244897959183674,0.0,1
imdb,5,pure_logits,greedy,50,0.10491494834423065,0.098088555,1.5714285714285714,0.6060606060606061,1
imdb,5,pure_logits,greedy_init,50,0.10661622881889343,0.099242195,1.6020408163265305,0.6060606060606061,1
imdb,5,pure_logits,greedy_init_temp,27,0.12008184939622879,0.09570915,1.3877551020408163,2.727272727272727,1
imdb,6,convex_comb,greedy,50,0.1046641394495964,0.100926846,1.3265306122448979,0.0,1
imdb,6,convex_comb,greedy_init,50,0.10591525584459305,0.10212876,1.3571428571428572,0.0,1
imdb,6,convex_comb,greedy_init_temp,10,0.12441974878311157,0.09905579,1.7551020408163265,0.0,1
imdb,6,pure_logits,greedy,50,0.1046641394495964,0.0979199,1.6020408163265305,0.5050505050505051,1
imdb,6,pure_logits,greedy_init,50,0.10591525584459305,0.09945426,1.6020408163265305,0.6060606060606061,1
imdb,6,pure_logits,greedy_init_temp,8,0.12835346162319183,0.098733164,1.5408163265306123,2.323232323232323,1
imdb,7,convex_comb,greedy,50,0.10383827239274979,0.10371362,1.0510204081632653,0.0,1
imdb,7,convex_comb,greedy_init,50,0.10363201051950455,0.10114884,1.3877551020408163,0.0,1
imdb,7,convex_comb,greedy_init_temp,17,0.11504511535167694,0.09699589,1.7857142857142856,0.0,1
