dataset,seed,method,ensemble_type,ensemble_size,nll_test,c1,c2,epi_scalar
imdb,0,convex_comb,greedy_5_baseline,5,0.12724649906158447,,,
imdb,0,convex_comb,greedy_50_baseline,50,0.12414136528968811,,,
imdb,0,convex_comb,greedy_50_temp_baseline,50,0.17255593836307526,0.6306122448979592,,
imdb,0,convex_comb,greedy_5_post_calib,5,0.12673907,0.8950270720533111,0.0,1
imdb,0,convex_comb,greedy_50_post_calib,50,0.12424527,0.9651478550603916,0.06530612244897958,1
imdb,0,convex_comb,greedy_50_calib_every_step,18,0.123586975,1.6290712203248647,0.09795918367346938,1
imdb,0,pure_logits,greedy_5_baseline,5,0.12724649906158447,,,
imdb,0,pure_logits,greedy_50_baseline,50,0.12414136528968811,,,
imdb,0,pure_logits,greedy_50_temp_baseline,50,0.17255593836307526,0.6306122448979592,,
imdb,0,pure_logits,greedy_5_post_calib,5,0.12639792,1.0701541024573094,0.9062890462307371,1
imdb,0,pure_logits,greedy_50_post_calib,50,0.124173574,0.9886880466472303,0.9995835068721366,1
imdb,0,pure_logits,greedy_50_calib_every_step,17,0.12301481,1.1768096626405664,2.8221574344023326,1
imdb,0,convex_comb_no_exp,greedy_5_baseline,5,0.12724649906158447,,,
imdb,0,convex_comb_no_exp,greedy_50_baseline,50,0.12414136528968811,,,
imdb,0,convex_comb_no_exp,greedy_50_temp_baseline,50,0.17255593836307526,0.6306122448979592,,
imdb,0,convex_comb_no_exp,greedy_5_post_calib,5,0.12673907,0.8950270720533111,0.0,1
imdb,0,convex_comb_no_exp,greedy_50_post_calib,50,0.12417456,0.9872886297376093,0.0,1
imdb,0,convex_comb_no_exp,greedy_50_calib_every_step,18,0.123586975,1.6290712203248647,0.13061224489795917,1
imdb,0,convex_comb_global,greedy_5_baseline,5,0.12724649906158447,,,
imdb,0,convex_comb_global,greedy_50_baseline,50,0.12414136528968811,,,
imdb,0,convex_comb_global,greedy_50_temp_baseline,50,0.17255593836307526,0.6306122448979592,,
imdb,0,convex_comb_global,greedy_5_post_calib,5,0.12673369,0.8876301541024573,0.08063306955435234,1
imdb,0,convex_comb_global,greedy_50_post_calib,50,0.1242744,0.9573011245314453,0.10912119950020824,1
imdb,0,convex_comb_global,greedy_50_calib_every_step,18,0.123618536,1.615826738858809,0.19825072886297374,1
imdb,1,convex_comb,greedy_5_baseline,5,0.1270262897014618,,,
imdb,1,convex_comb,greedy_50_baseline,50,0.12418968975543976,,,
imdb,1,convex_comb,greedy_50_temp_baseline,50,0.1716218739748001,0.6306122448979592,,
imdb,1,convex_comb,greedy_5_post_calib,5,0.12659346,0.9246147438567264,0.0,1
imdb,1,convex_comb,greedy_50_post_calib,50,0.124185085,1.0038817159516868,0.0,1
imdb,1,convex_comb,greedy_50_calib_every_step,32,0.12465272,1.6707038733860893,0.20791336942940442,1
imdb,1,pure_logits,greedy_5_baseline,5,0.1270262897014618,,,
imdb,1,pure_logits,greedy_50_baseline,50,0.12418968975543976,,,
imdb,1,pure_logits,greedy_50_temp_baseline,50,0.1716218739748001,0.6306122448979592,,
imdb,1,pure_logits,greedy_5_post_calib,5,0.12628622,1.3124531445231153,0.7730112453144523,1
imdb,1,pure_logits,greedy_50_post_calib,50,0.12415567,0.9651478550603916,1.0162432319866723,1
imdb,1,pure_logits,greedy_50_calib_every_step,50,0.12232249,0.8128113286130778,3.148688046647231,1
imdb,1,convex_comb_no_exp,greedy_5_baseline,5,0.1270262897014618,,,
imdb,1,convex_comb_no_exp,greedy_50_baseline,50,0.12418968975543976,,,
imdb,1,convex_comb_no_exp,greedy_50_temp_baseline,50,0.1716218739748001,0.6306122448979592,,
imdb,1,convex_comb_no_exp,greedy_5_post_calib,5,0.12659346,0.9246147438567264,0.0,1
imdb,1,convex_comb_no_exp,greedy_50_post_calib,50,0.124185085,1.0038817159516868,0.0,1
imdb,1,convex_comb_no_exp,greedy_50_calib_every_step,32,0.12465272,1.6707038733860893,0.26122448979591834,1
