SEED,Split,Model,C1,C2,Epi Scalar,Epsilon,NLL Val,NLL Test
25,0.36_0.4_0.4_160,Calibrator_pure_logits,0.9,0.0,1.0,0.0,0.6706487,0.6574071
25,0.36_0.4_0.4_160,Calibrator_convex_comb_global,0.7,0.8888888888888888,1.0,0.0,0.91487956,0.90605056
25,0.36_0.4_0.4_160,Calibrator_convex_comb,0.8,0.0,1.0,0.0,0.9162729,0.90798753
25,0.36_0.4_0.4_160,Calibrator_convex_comb_no_exp,0.8,0.0,1.0,0.0,0.9162729,0.90798753
25,0.36_0.4_0.4_160,DeepEnsemble,,,,0.0,0.9318165,0.9261534
25,0.36_0.4_0.4_160,Simple NN,,,,,1.460719,1.437197
26,0.36_0.4_0.4_160,Calibrator_pure_logits,0.9,0.0,1.0,0.0,0.6608485,0.65718305
26,0.36_0.4_0.4_160,Calibrator_convex_comb_global,0.7,0.8888888888888888,1.0,0.0,0.9090157,0.9011167
26,0.36_0.4_0.4_160,Calibrator_convex_comb,0.8,0.0,1.0,0.0,0.91048115,0.9026886
26,0.36_0.4_0.4_160,Calibrator_convex_comb_no_exp,0.8,0.0,1.0,0.0,0.91048115,0.9026886
26,0.36_0.4_0.4_160,DeepEnsemble,,,,0.0,0.92236614,0.91816366
26,0.36_0.4_0.4_160,Simple NN,,,,,1.4284475,1.4243879
27,0.36_0.4_0.4_160,Calibrator_pure_logits,0.9,0.0,1.0,0.0,0.6635317,0.6560587
27,0.36_0.4_0.4_160,Calibrator_convex_comb_global,0.7,0.8888888888888888,1.0,0.0,0.9214333,0.9129429
27,0.36_0.4_0.4_160,Calibrator_convex_comb,0.8,0.0,1.0,0.0,0.9222752,0.9152833
27,0.36_0.4_0.4_160,Calibrator_convex_comb_no_exp,0.8,0.0,1.0,0.0,0.9222752,0.9152833
27,0.36_0.4_0.4_160,DeepEnsemble,,,,0.0,0.9398398,0.93525195
27,0.36_0.4_0.4_160,Simple NN,,,,,1.4348961,1.4274257
28,0.36_0.4_0.4_160,Calibrator_pure_logits,0.9,0.0,1.0,0.0,0.66150117,0.64690566
28,0.36_0.4_0.4_160,Calibrator_convex_comb_global,0.7,0.8888888888888888,1.0,0.0,0.91162294,0.903381
28,0.36_0.4_0.4_160,Calibrator_convex_comb,0.8,0.0,1.0,0.0,0.91188884,0.9052816
28,0.36_0.4_0.4_160,Calibrator_convex_comb_no_exp,0.8,0.0,1.0,0.0,0.91188884,0.9052816
28,0.36_0.4_0.4_160,DeepEnsemble,,,,0.0,0.9274793,0.9236085
28,0.36_0.4_0.4_160,Simple NN,,,,,1.4536232,1.4241122
29,0.36_0.4_0.4_160,Calibrator_pure_logits,0.9,0.0,1.0,0.0,0.66831535,0.6557571
29,0.36_0.4_0.4_160,Calibrator_convex_comb_global,0.7,0.8888888888888888,1.0,0.0,0.9170201,0.9014228
29,0.36_0.4_0.4_160,Calibrator_convex_comb,0.8,0.0,1.0,0.0,0.91926533,0.90253735
29,0.36_0.4_0.4_160,Calibrator_convex_comb_no_exp,0.8,0.0,1.0,0.0,0.91926533,0.90253735
29,0.36_0.4_0.4_160,DeepEnsemble,,,,0.0,0.9342755,0.92134154
29,0.36_0.4_0.4_160,Simple NN,,,,,1.4623812,1.4643618
