SEED,Split,Model,C1,C2,Epi Scalar,Epsilon,NLL Val,NLL Test
25,"('0.2_0.2_0.6_128_OOD_with_noise',)",Simple NN,,,,,0.14824228,0.14052461
25,"('0.2_0.2_0.6_128_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.14570299,0.14307441
25,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_pure_logits,0.8545454545454545,2.4141414141414144,1.0,0.0,0.13857122,0.1386332
25,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb,0.8727272727272728,3.8383838383838382,1.0,0.0,0.14120804,0.13662171
25,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_no_exp,0.8727272727272728,40.7035175879397,1.0,0.0,0.14429916,0.1356271
25,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_global,0.9090909090909092,0.0,1.0,0.0,0.14488992,0.1389651
26,"('0.2_0.2_0.6_128_OOD_with_noise',)",Simple NN,,,,,0.1480783,0.14321785
26,"('0.2_0.2_0.6_128_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.15212929,0.14638224
26,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_pure_logits,0.8181818181818181,3.1414141414141414,1.0,0.0,0.14893514,0.13934796
26,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb,0.8363636363636364,2.6262626262626263,1.0,0.0,0.14771646,0.13721122
26,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_no_exp,0.7454545454545454,221.60804020100502,1.0,0.0,0.14590476,0.13502398
26,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_global,0.7818181818181817,0.9595959595959597,1.0,0.0,0.14746672,0.13712692
27,"('0.2_0.2_0.6_128_OOD_with_noise',)",Simple NN,,,,,0.15118349,0.1447898
27,"('0.2_0.2_0.6_128_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.15021989,0.1438753
27,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_pure_logits,0.8727272727272728,3.94949494949495,1.0,0.0,0.14722167,0.13817418
27,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb,0.8727272727272728,4.646464646464646,1.0,0.0,0.14790946,0.13613266
27,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_no_exp,0.8,300.0,1.0,0.0,0.14528392,0.13335887
27,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_global,0.8181818181818181,0.9797979797979799,1.0,0.0,0.14727111,0.13544539
28,"('0.2_0.2_0.6_128_OOD_with_noise',)",Simple NN,,,,,0.15542927,0.15149689
28,"('0.2_0.2_0.6_128_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.15351036,0.14841826
28,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_pure_logits,0.9272727272727272,1.202020202020202,1.0,0.0,0.15302819,0.14829011
28,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb,0.8727272727272728,4.343434343434343,1.0,0.0,0.1515208,0.14393252
28,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_no_exp,0.8727272727272728,16.582914572864322,1.0,0.0,0.15193398,0.14466587
