SEED,Split,Model,C1,C2,Epi Scalar,Epsilon,NLL Val,NLL Test
25,0.25_0.25_0.5_64,Calibrator_pure_logits,1.218181818181818,1.0,1.0,0.1,1.2945327,1.264326
25,0.25_0.25_0.5_64,Calibrator_convex_comb_global,1.1636363636363636,0.12121212121212122,1.0,0.1,1.2931688,1.2645799
25,0.25_0.25_0.5_64,Calibrator_convex_comb_no_exp,1.1636363636363636,0.12121212121212122,1.0,0.1,1.2929887,1.2645993
25,0.25_0.25_0.5_64,Calibrator_convex_comb,1.1818181818181819,0.10101010101010102,1.0,0.1,1.2929839,1.2648846
25,0.25_0.25_0.5_64,DeepEnsemble,,,,0.1,1.3073765,1.2655048
25,0.25_0.25_0.5_64,Simple NN,,,,,2.3173149,2.315925
26,0.25_0.25_0.5_64,Calibrator_convex_comb,1.1818181818181819,0.13131313131313133,1.0,0.1,1.3938047,1.4109118
26,0.25_0.25_0.5_64,Calibrator_convex_comb_no_exp,1.1818181818181819,0.15151515151515152,1.0,0.1,1.3938601,1.4109553
26,0.25_0.25_0.5_64,Calibrator_convex_comb_global,1.2,0.09090909090909091,1.0,0.1,1.3945271,1.4110205
26,0.25_0.25_0.5_64,Calibrator_pure_logits,1.2363636363636363,1.0,1.0,0.1,1.3949158,1.4114759
26,0.25_0.25_0.5_64,DeepEnsemble,,,,0.1,1.4067705,1.4239523
26,0.25_0.25_0.5_64,Simple NN,,,,,2.3110228,2.3100405
27,0.25_0.25_0.5_64,DeepEnsemble,,,,0.1,1.288155,1.2677722
27,0.25_0.25_0.5_64,Calibrator_convex_comb,1.018181818181818,0.020202020202020204,1.0,0.1,1.2877351,1.2682983
27,0.25_0.25_0.5_64,Calibrator_convex_comb_global,1.018181818181818,0.030303030303030304,1.0,0.1,1.2877111,1.2684124
27,0.25_0.25_0.5_64,Calibrator_convex_comb_no_exp,1.018181818181818,0.030303030303030304,1.0,0.1,1.2877444,1.2684305
27,0.25_0.25_0.5_64,Calibrator_pure_logits,1.0363636363636364,1.0,1.0,0.1,1.2878069,1.2687271
