SEED,Split,Model,C1,C2,Epi Scalar,Epsilon,NLL Val,NLL Test
25,0.25_0.25_0.5_64,Calibrator_convex_comb,1.309090909090909,0.09090909090909091,1.0,0.1,1.3129575,1.3081682
25,0.25_0.25_0.5_64,Calibrator_convex_comb_no_exp,1.309090909090909,0.10101010101010101,1.0,0.1,1.3129661,1.3082194
25,0.25_0.25_0.5_64,Calibrator_convex_comb_global,1.309090909090909,0.08080808080808081,1.0,0.1,1.3130533,1.3084704
25,0.25_0.25_0.5_64,Calibrator_pure_logits,1.3454545454545455,1.0,1.0,0.1,1.3136955,1.3098321
25,0.25_0.25_0.5_64,DeepEnsemble,,,,0.1,1.3414358,1.3331687
25,0.25_0.25_0.5_64,Simple NN,,,,,2.3173974,2.3160427
26,0.25_0.25_0.5_64,Calibrator_convex_comb,1.2909090909090908,0.030303030303030304,1.0,0.1,1.3347386,1.3314576
26,0.25_0.25_0.5_64,Calibrator_convex_comb_no_exp,1.309090909090909,0.0,1.0,0.1,1.3347918,1.3314991
26,0.25_0.25_0.5_64,Calibrator_pure_logits,1.309090909090909,1.0,1.0,0.1,1.3347908,1.3314995
26,0.25_0.25_0.5_64,Calibrator_convex_comb_global,1.309090909090909,0.010101010101010102,1.0,0.1,1.3347788,1.331522
26,0.25_0.25_0.5_64,DeepEnsemble,,,,0.1,1.3565891,1.3495808
26,0.25_0.25_0.5_64,Simple NN,,,,,2.3110814,2.3101265
27,0.25_0.25_0.5_64,Calibrator_convex_comb_no_exp,1.2909090909090908,0.10101010101010101,1.0,0.1,1.3354331,1.3153424
27,0.25_0.25_0.5_64,Calibrator_convex_comb_global,1.2727272727272727,0.13131313131313133,1.0,0.1,1.3351612,1.3153924
27,0.25_0.25_0.5_64,Calibrator_convex_comb,1.2727272727272727,0.12121212121212122,1.0,0.1,1.3354616,1.315426
27,0.25_0.25_0.5_64,Calibrator_pure_logits,1.3454545454545455,1.0,1.0,0.1,1.3366934,1.3156439
27,0.25_0.25_0.5_64,DeepEnsemble,,,,0.1,1.3642286,1.3279757
27,0.25_0.25_0.5_64,Simple NN,,,,,2.3171144,2.3173022
28,0.25_0.25_0.5_64,Calibrator_convex_comb,1.4,0.0,1.0,0.1,1.2601267,1.2624594
28,0.25_0.25_0.5_64,Calibrator_convex_comb_no_exp,1.4,0.0,1.0,0.1,1.2601268,1.2624594
28,0.25_0.25_0.5_64,Calibrator_convex_comb_global,1.4,0.0,1.0,0.1,1.2601268,1.2624594
28,0.25_0.25_0.5_64,Calibrator_pure_logits,1.4,1.0,1.0,0.1,1.2601261,1.2624598
28,0.25_0.25_0.5_64,DeepEnsemble,,,,0.1,1.2979292,1.2916509
28,0.25_0.25_0.5_64,Simple NN,,,,,2.3325143,2.333584
29,0.25_0.25_0.5_64,Calibrator_pure_logits,1.4909090909090907,1.0,1.0,0.1,1.3422053,1.3270253
29,0.25_0.25_0.5_64,Calibrator_convex_comb,1.4909090909090907,0.0,1.0,0.1,1.3422034,1.3270274
29,0.25_0.25_0.5_64,Calibrator_convex_comb_no_exp,1.4909090909090907,0.0,1.0,0.1,1.3422035,1.3270274
29,0.25_0.25_0.5_64,Calibrator_convex_comb_global,1.4909090909090907,0.0,1.0,0.1,1.3422034,1.3270274
29,0.25_0.25_0.5_64,DeepEnsemble,,,,0.1,1.3947374,1.3636683
29,0.25_0.25_0.5_64,Simple NN,,,,,2.3079615,2.3079247
30,0.25_0.25_0.5_64,Calibrator_pure_logits,1.4545454545454544,1.0,1.0,0.1,1.4180561,1.4164746
30,0.25_0.25_0.5_64,Calibrator_convex_comb,1.4545454545454544,0.0,1.0,0.1,1.4180554,1.4164758
30,0.25_0.25_0.5_64,Calibrator_convex_comb_no_exp,1.4545454545454544,0.0,1.0,0.1,1.4180553,1.4164758
30,0.25_0.25_0.5_64,Calibrator_convex_comb_global,1.4545454545454544,0.0,1.0,0.1,1.4180554,1.4164758
30,0.25_0.25_0.5_64,DeepEnsemble,,,,0.1,1.4662862,1.4524187
30,0.25_0.25_0.5_64,Simple NN,,,,,2.3160844,2.316125
31,0.25_0.25_0.5_64,Calibrator_convex_comb_no_exp,1.218181818181818,0.050505050505050504,1.0,0.1,1.2733837,1.2669926
31,0.25_0.25_0.5_64,Calibrator_convex_comb,1.218181818181818,0.06060606060606061,1.0,0.1,1.2733608,1.2671865
31,0.25_0.25_0.5_64,Calibrator_pure_logits,1.2545454545454544,1.0,1.0,0.1,1.27451,1.2673
31,0.25_0.25_0.5_64,Calibrator_convex_comb_global,1.218181818181818,0.07070707070707072,1.0,0.1,1.2734491,1.2673008
31,0.25_0.25_0.5_64,DeepEnsemble,,,,0.1,1.2908254,1.276636
31,0.25_0.25_0.5_64,Simple NN,,,,,2.3069706,2.307047
32,0.25_0.25_0.5_64,Calibrator_pure_logits,1.4727272727272727,1.0,1.0,0.1,1.3285425,1.3299652
32,0.25_0.25_0.5_64,Calibrator_convex_comb,1.4727272727272727,0.0,1.0,0.1,1.3285439,1.3299663
32,0.25_0.25_0.5_64,Calibrator_convex_comb_no_exp,1.4727272727272727,0.0,1.0,0.1,1.3285439,1.3299663
32,0.25_0.25_0.5_64,Calibrator_convex_comb_global,1.4727272727272727,0.0,1.0,0.1,1.3285439,1.3299663
32,0.25_0.25_0.5_64,DeepEnsemble,,,,0.1,1.3777219,1.3673025
32,0.25_0.25_0.5_64,Simple NN,,,,,2.3052402,2.3052433
33,0.25_0.25_0.5_64,Calibrator_pure_logits,1.5272727272727271,1.0,1.0,0.1,1.3410357,1.3360056
33,0.25_0.25_0.5_64,Calibrator_convex_comb,1.5272727272727271,0.0,1.0,0.1,1.3410368,1.3360057
33,0.25_0.25_0.5_64,Calibrator_convex_comb_no_exp,1.5272727272727271,0.0,1.0,0.1,1.3410368,1.3360057
33,0.25_0.25_0.5_64,Calibrator_convex_comb_global,1.5272727272727271,0.0,1.0,0.1,1.3410367,1.3360057
33,0.25_0.25_0.5_64,DeepEnsemble,,,,0.1,1.3959445,1.3776968
33,0.25_0.25_0.5_64,Simple NN,,,,,2.3141754,2.3136084
34,0.25_0.25_0.5_64,Calibrator_convex_comb,1.4363636363636363,0.09090909090909091,1.0,0.1,1.3804326,1.3777672
34,0.25_0.25_0.5_64,Calibrator_convex_comb_no_exp,1.4363636363636363,0.10101010101010101,1.0,0.1,1.380443,1.3778278
34,0.25_0.25_0.5_64,Calibrator_convex_comb_global,1.4363636363636363,0.09090909090909091,1.0,0.1,1.3807068,1.3779429
34,0.25_0.25_0.5_64,Calibrator_pure_logits,1.4909090909090907,1.0,1.0,0.1,1.3816422,1.3783189
34,0.25_0.25_0.5_64,DeepEnsemble,,,,0.1,1.4324614,1.4214299
34,0.25_0.25_0.5_64,Simple NN,,,,,2.309213,2.3102207
