SEED,Split,Model,C1,C2,Epi Scalar,Epsilon,NLL Val,NLL Test
25,0.25_0.25_0.5_64,DeepEnsemble,,,,0.0,1.3386681,1.3339199
25,0.25_0.25_0.5_64,Calibrator_pure_logits,1.0363636363636364,1.0,1.0,0.0,1.3383566,1.3343892
25,0.25_0.25_0.5_64,Calibrator_convex_comb,1.0363636363636364,0.0,1.0,0.0,1.3383565,1.3343906
25,0.25_0.25_0.5_64,Calibrator_convex_comb_no_exp,1.0363636363636364,0.0,1.0,0.0,1.3383565,1.3343906
25,0.25_0.25_0.5_64,Calibrator_convex_comb_global,1.0363636363636364,0.0,1.0,0.0,1.3383566,1.3343906
25,0.25_0.25_0.5_64,Simple NN,,,,,2.3173149,2.315925
26,0.25_0.25_0.5_64,Calibrator_pure_logits,1.1090909090909091,1.0,1.0,0.0,1.3174168,1.3116082
26,0.25_0.25_0.5_64,Calibrator_convex_comb,1.1090909090909091,0.0,1.0,0.0,1.317418,1.3116101
26,0.25_0.25_0.5_64,Calibrator_convex_comb_no_exp,1.1090909090909091,0.0,1.0,0.0,1.3174179,1.3116101
26,0.25_0.25_0.5_64,Calibrator_convex_comb_global,1.1090909090909091,0.0,1.0,0.0,1.3174179,1.3116101
26,0.25_0.25_0.5_64,DeepEnsemble,,,,0.0,1.3204335,1.3131422
26,0.25_0.25_0.5_64,Simple NN,,,,,2.3110228,2.3100405
27,0.25_0.25_0.5_64,Calibrator_pure_logits,1.0909090909090908,1.0,1.0,0.0,1.2916348,1.2780796
27,0.25_0.25_0.5_64,Calibrator_convex_comb,1.0909090909090908,0.0,1.0,0.0,1.2916362,1.278082
27,0.25_0.25_0.5_64,Calibrator_convex_comb_no_exp,1.0909090909090908,0.0,1.0,0.0,1.2916362,1.278082
27,0.25_0.25_0.5_64,Calibrator_convex_comb_global,1.0909090909090908,0.0,1.0,0.0,1.2916361,1.278082
27,0.25_0.25_0.5_64,DeepEnsemble,,,,0.0,1.2937537,1.278174
27,0.25_0.25_0.5_64,Simple NN,,,,,2.3169172,2.3170118
28,0.25_0.25_0.5_64,DeepEnsemble,,,,0.0,1.2735742,1.2840492
28,0.25_0.25_0.5_64,Calibrator_pure_logits,1.0,1.0,1.0,0.0,1.2735742,1.2840492
28,0.25_0.25_0.5_64,Calibrator_convex_comb,1.0,0.0,1.0,0.0,1.2735754,1.2840513
