SEED,Split,Model,C1,C2,Epi Scalar,Epsilon,NLL Val,NLL Test
25,0.25_0.25_0.5_64,Calibrator_convex_comb_global,1.3272727272727272,0.030303030303030304,1.0,0.0,1.282606,1.2938492
25,0.25_0.25_0.5_64,Calibrator_convex_comb,1.3272727272727272,0.030303030303030304,1.0,0.0,1.2826209,1.2939049
25,0.25_0.25_0.5_64,Calibrator_pure_logits,1.3454545454545455,1.0,1.0,0.0,1.2832283,1.2941254
25,0.25_0.25_0.5_64,Calibrator_convex_comb_no_exp,1.309090909090909,0.050505050505050504,1.0,0.0,1.2828633,1.2941369
25,0.25_0.25_0.5_64,DeepEnsemble,,,,0.0,1.3089786,1.3213028
25,0.25_0.25_0.5_64,Simple NN,,,,,2.3173974,2.3160427
26,0.25_0.25_0.5_64,Calibrator_pure_logits,1.3818181818181816,1.0,1.0,0.0,1.2908022,1.2942655
26,0.25_0.25_0.5_64,Calibrator_convex_comb,1.3818181818181816,0.0,1.0,0.0,1.2908039,1.2942665
26,0.25_0.25_0.5_64,Calibrator_convex_comb_no_exp,1.3818181818181816,0.0,1.0,0.0,1.2908038,1.2942665
26,0.25_0.25_0.5_64,Calibrator_convex_comb_global,1.3818181818181816,0.0,1.0,0.0,1.2908039,1.2942665
26,0.25_0.25_0.5_64,DeepEnsemble,,,,0.0,1.3212925,1.320743
26,0.25_0.25_0.5_64,Simple NN,,,,,2.3110814,2.3101265
27,0.25_0.25_0.5_64,Calibrator_pure_logits,1.4545454545454544,1.0,1.0,0.0,1.380025,1.3690389
27,0.25_0.25_0.5_64,Calibrator_convex_comb,1.4545454545454544,0.0,1.0,0.0,1.3800257,1.3690403
27,0.25_0.25_0.5_64,Calibrator_convex_comb_no_exp,1.4545454545454544,0.0,1.0,0.0,1.3800257,1.3690403
27,0.25_0.25_0.5_64,Calibrator_convex_comb_global,1.4545454545454544,0.0,1.0,0.0,1.3800257,1.3690403
27,0.25_0.25_0.5_64,DeepEnsemble,,,,0.0,1.4266789,1.4027368
27,0.25_0.25_0.5_64,Simple NN,,,,,2.3171144,2.3173022
28,0.25_0.25_0.5_64,Calibrator_pure_logits,1.4909090909090907,1.0,1.0,0.0,1.3215535,1.3120947
28,0.25_0.25_0.5_64,Calibrator_convex_comb,1.4909090909090907,0.0,1.0,0.0,1.3215555,1.312097
28,0.25_0.25_0.5_64,Calibrator_convex_comb_no_exp,1.4909090909090907,0.0,1.0,0.0,1.3215556,1.312097
28,0.25_0.25_0.5_64,Calibrator_convex_comb_global,1.4909090909090907,0.0,1.0,0.0,1.3215556,1.312097
28,0.25_0.25_0.5_64,DeepEnsemble,,,,0.0,1.3691754,1.3516037
28,0.25_0.25_0.5_64,Simple NN,,,,,2.3325143,2.333584
29,0.25_0.25_0.5_64,Calibrator_pure_logits,1.6727272727272726,1.0,1.0,0.0,1.3812262,1.3727357
29,0.25_0.25_0.5_64,Calibrator_convex_comb,1.6727272727272726,0.0,1.0,0.0,1.381227,1.3727381
29,0.25_0.25_0.5_64,Calibrator_convex_comb_no_exp,1.6727272727272726,0.0,1.0,0.0,1.381227,1.3727381
