,SEED,Split,Model,C1,C2,Epi Scalar,Epsilon,NLL Val,NLL Test,NLL Holdout
0,0,0.1_0.1_0.8_384_OOD_with_noise,CNN,,,,,0.104186,0.106837,1.148074
1,0,0.1_0.1_0.8_384_OOD_with_noise,DeepEnsemble,,,,0.0,0.086942,0.087816,0.908824
2,0,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_pure_logits,1.0,0.333333,1.0,0.0,0.085663,0.086189,0.97717
3,0,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb,0.9,0.071429,1.0,0.0,0.086115,0.086714,0.87292
4,0,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb_no_exp,0.9,0.214286,1.0,0.0,0.086601,0.087126,0.839652
5,0,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb_global,0.9,0.928571,1.0,0.0,0.086082,0.086715,0.842322
6,1,0.1_0.1_0.8_384_OOD_with_noise,CNN,,,,,0.104117,0.099731,0.914102
7,1,0.1_0.1_0.8_384_OOD_with_noise,DeepEnsemble,,,,0.0,0.08746,0.085699,0.797762
8,1,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_pure_logits,1.0,0.333333,1.0,0.0,0.085543,0.082988,0.833106
9,1,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb,0.9,0.0,1.0,0.0,0.086946,0.084548,0.841065
10,1,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb_no_exp,0.9,0.0,1.0,0.0,0.086946,0.084548,0.825501
11,1,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb_global,0.9,0.928571,1.0,0.0,0.086869,0.084315,0.770754
12,2,0.1_0.1_0.8_384_OOD_with_noise,CNN,,,,,0.083506,0.091461,1.389418
13,2,0.1_0.1_0.8_384_OOD_with_noise,DeepEnsemble,,,,0.0,0.083055,0.081575,0.759283
14,2,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_pure_logits,1.1,0.0,1.0,0.0,0.081738,0.080327,0.785088
15,2,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb,0.9,0.071429,1.0,0.0,0.082674,0.080775,0.77552
16,2,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb_no_exp,1.0,0.0,1.0,0.0,0.083051,0.08129,0.767553
17,2,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb_global,0.9,0.928571,1.0,0.0,0.082651,0.08074,0.765716
18,3,0.1_0.1_0.8_384_OOD_with_noise,CNN,,,,,0.091796,0.090702,0.851098
19,3,0.1_0.1_0.8_384_OOD_with_noise,DeepEnsemble,,,,0.0,0.083659,0.085054,0.83692
20,3,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_pure_logits,1.1,0.0,1.0,0.0,0.081324,0.082454,0.846871
