SEED,Split,Model,NLL Val,NLL Test,NLL Holdout
0,0.1_0.1_0.8_384_OOD_with_noise,CNN,0.08927718,0.087006204,1.0418612
0,0.1_0.1_0.8_384_OOD_with_noise,DeepEnsemble,0.07218724,0.07356261,0.88129026
0,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_pure_logits,0.07134056,0.072671674,0.851892
0,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb,0.071594484,0.072067976,0.8140494
0,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb_no_exp,0.07811558,0.07803278,0.7577043
1,0.1_0.1_0.8_384_OOD_with_noise,CNN,0.081917,0.0808019,0.9397282
1,0.1_0.1_0.8_384_OOD_with_noise,DeepEnsemble,0.078971945,0.07795689,0.83346504
1,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_pure_logits,0.07765217,0.07694338,0.8162538
1,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb,0.07800919,0.077120766,0.7407375
1,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb_no_exp,0.08477771,0.08308552,0.69838005
2,0.1_0.1_0.8_384_OOD_with_noise,CNN,0.0816883,0.0869756,1.2985389
2,0.1_0.1_0.8_384_OOD_with_noise,DeepEnsemble,0.06916446,0.07098623,0.8990948
2,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_pure_logits,0.06839247,0.07018373,0.8922834
2,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb,0.068140596,0.070085995,0.80477124
2,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb_no_exp,0.07487888,0.076091774,0.76624143
3,0.1_0.1_0.8_384_OOD_with_noise,CNN,0.08212938,0.0850575,1.0504924
3,0.1_0.1_0.8_384_OOD_with_noise,DeepEnsemble,0.07923022,0.0801018,0.7897051
3,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_pure_logits,0.077966206,0.0789105,0.8328597
3,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb,0.07857507,0.07942364,0.75387114
3,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb_no_exp,0.0840455,0.0852435,0.749339
4,0.1_0.1_0.8_384_OOD_with_noise,CNN,0.08494665,0.08449145,0.9977835
4,0.1_0.1_0.8_384_OOD_with_noise,DeepEnsemble,0.074842624,0.07642049,0.8375186
4,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_pure_logits,0.074813016,0.07604331,0.8350518
4,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb,0.07496225,0.07584986,0.83580184
4,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb_no_exp,0.080634065,0.081476346,0.76041424
5,0.1_0.1_0.8_384_OOD_with_noise,CNN,0.087623425,0.09133249,0.9853846
5,0.1_0.1_0.8_384_OOD_with_noise,DeepEnsemble,0.08410581,0.082611896,0.91572434
5,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_pure_logits,0.083414055,0.081872925,0.90962225
5,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb,0.08370578,0.08210602,0.8266095
5,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb_no_exp,0.08991968,0.08797458,0.78971034
6,0.1_0.1_0.8_384_OOD_with_noise,CNN,0.09641385,0.097042605,1.2840121
6,0.1_0.1_0.8_384_OOD_with_noise,DeepEnsemble,0.07079816,0.07252443,0.8612623
6,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_pure_logits,0.06952913,0.071544506,0.86900467
6,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb,0.06960307,0.07131766,0.7655838
6,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb_no_exp,0.07742825,0.07849356,0.76865655
7,0.1_0.1_0.8_384_OOD_with_noise,CNN,0.08309561,0.086797,1.3389101
7,0.1_0.1_0.8_384_OOD_with_noise,DeepEnsemble,0.07260849,0.0753023,0.97907776
7,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_pure_logits,0.07132524,0.07416,0.94343567
7,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb,0.0716906,0.07385362,0.86556435
7,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb_no_exp,0.08090021,0.0818814,0.7984318
8,0.1_0.1_0.8_384_OOD_with_noise,CNN,0.09171836,0.090191506,1.14558
8,0.1_0.1_0.8_384_OOD_with_noise,DeepEnsemble,0.07947722,0.07801757,0.95526516
8,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_pure_logits,0.078755595,0.07727589,0.98515975
8,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb,0.07880572,0.07762713,0.87123066
8,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb_no_exp,0.08574291,0.0839188,0.86531556
9,0.1_0.1_0.8_384_OOD_with_noise,CNN,0.08627422,0.08753772,1.3863902
9,0.1_0.1_0.8_384_OOD_with_noise,DeepEnsemble,0.072699934,0.073824674,0.9180448
9,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_pure_logits,0.071279205,0.072552934,0.8766504
9,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb,0.07154401,0.07246188,0.82681406
9,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb_no_exp,0.078355975,0.0784479,0.78529614
