SEED,Split,Model,C1,C2,Epi Scalar,Epsilon,NLL Val,NLL Test,NLL Holdout
25,"('0.5_0.2_0.3_32_OOD_with_noise',)",Simple NN,,,,,0.45609593,0.42367953,0.97343045
25,"('0.5_0.2_0.3_32_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.45013282,0.41985792,0.7557735
25,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_pure_logits,1.0727272727272728,5.432160804020101,1.0,0.0,0.44480672,0.41772848,0.61290956
25,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb,1.0727272727272728,23.668341708542712,1.0,0.0,0.44170216,0.41657838,0.5477294
25,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_no_exp,1.0727272727272728,627.6381909547738,1.0,0.0,0.44417012,0.41628212,0.5589711
25,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_global,1.0909090909090908,0.9849246231155779,1.0,0.0,0.44540936,0.4170256,0.5804272
26,"('0.5_0.2_0.3_32_OOD_with_noise',)",Simple NN,,,,,0.45442414,0.43119657,1.5136187
26,"('0.5_0.2_0.3_32_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.44227618,0.41507503,0.61383665
26,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_pure_logits,0.9636363636363636,1.542713567839196,1.0,0.0,0.4420753,0.41472396,0.5835572
26,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb,0.9636363636363636,3.9195979899497484,1.0,0.0,0.44154048,0.41381657,0.55899477
26,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_no_exp,0.8909090909090909,50.0,1.0,0.0,0.44257563,0.41436645,0.55550355
26,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_global,0.9272727272727272,0.8743718592964824,1.0,0.0,0.4415447,0.41359392,0.56638205
27,"('0.5_0.2_0.3_32_OOD_with_noise',)",Simple NN,,,,,0.44487733,0.41522264,0.5838048
27,"('0.5_0.2_0.3_32_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.44388464,0.41384643,0.47790384
27,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_pure_logits,0.9090909090909092,2.6733668341708543,1.0,0.0,0.44344354,0.41175985,0.49506488
27,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb,0.9454545454545453,6.93467336683417,1.0,0.0,0.44340318,0.41199318,0.52243495
27,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_no_exp,0.9272727272727272,50.0,1.0,0.0,0.44342163,0.41151264,0.5199749
27,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_global,0.9272727272727272,0.914572864321608,1.0,0.0,0.4433596,0.41168213,0.5059862
28,"('0.5_0.2_0.3_32_OOD_with_noise',)",Simple NN,,,,,0.44755846,0.41508937,0.6669928
28,"('0.5_0.2_0.3_32_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.443396,0.41689676,0.73414844
28,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_pure_logits,1.0,1.4522613065326633,1.0,0.0,0.44329467,0.4171507,0.7102812
28,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb,0.9636363636363636,6.331658291457286,1.0,0.0,0.44177195,0.41549805,0.5645907
28,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_no_exp,0.9454545454545453,50.0,1.0,0.0,0.44196087,0.4155201,0.5677738
28,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_global,0.9454545454545453,0.9296482412060302,1.0,0.0,0.44230404,0.41546965,0.5876683
29,"('0.5_0.2_0.3_32_OOD_with_noise',)",Simple NN,,,,,0.44773605,0.4207432,0.69060826
29,"('0.5_0.2_0.3_32_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.4446189,0.417383,0.5152709
29,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_pure_logits,0.9272727272727272,1.0,1.0,0.0,0.44411415,0.41543865,0.5170205
29,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb,0.9090909090909092,8.894472361809044,1.0,0.0,0.4438757,0.4166733,0.56352895
29,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_no_exp,0.8909090909090909,54.77386934673367,1.0,0.0,0.4437802,0.41660422,0.55363584
29,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_global,0.8727272727272728,0.9396984924623115,1.0,0.0,0.4437937,0.4161871,0.54308754
30,"('0.5_0.2_0.3_32_OOD_with_noise',)",Simple NN,,,,,0.44765374,0.42124474,0.5640464
30,"('0.5_0.2_0.3_32_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.4518185,0.42220658,0.78519785
30,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_pure_logits,0.9818181818181817,1.0,1.0,0.0,0.45177725,0.4217373,0.7884309
30,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb,0.9636363636363636,3.9195979899497484,1.0,0.0,0.4512158,0.42063582,0.5830144
30,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_no_exp,0.9272727272727272,50.0,1.0,0.0,0.45348853,0.4220757,0.5655254
30,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_global,0.9636363636363636,0.6984924623115578,1.0,0.0,0.45169964,0.42127198,0.6912822
31,"('0.5_0.2_0.3_32_OOD_with_noise',)",Simple NN,,,,,0.44701543,0.41580153,0.4954506
31,"('0.5_0.2_0.3_32_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.44667134,0.41721493,0.7878065
